t_saat,AN_SO2,AN_SF,AN_SA,AN_SNH4,AN_SNO3,AN_SPO4,AN_SALK,AN_SN2,AN_XI,AN_XS,AN_XH,AN_XPAO,AN_XPP,AN_XPHA,AN_XAUT,AN_XTSS,AN_XMeOH,AN_XMeP,AX_SO2,AX_SF,AX_SA,AX_SNH4,AX_SNO3,AX_SPO4,AX_SALK,AX_SN2,AX_XI,AX_XS,AX_XH,AX_XPAO,AX_XPP,AX_XPHA,AX_XAUT,AX_XTSS,AX_XMeOH,AX_XMeP,AE_SO2,AE_SF,AE_SA,AE_SNH4,AE_SNO3,AE_SPO4,AE_SALK,AE_SN2,AE_XI,AE_XS,AE_XH,AE_XPAO,AE_XPP,AE_XPHA,AE_XAUT,AE_XTSS,AE_XMeOH,AE_XMeP
10,0.0,3.942,23.654,29.99,0.002,25.182,6.014,27.822,1933.062,346.651,1645.865,1004.345,134.095,82.257,107.275,4875.041,8.027,161.104,0.0,1.337,1.192,20.424,0.597,9.626,5.418,36.584,1926.791,278.462,1667.789,1013.457,149.891,47.573,107.87,4875.416,12.059,154.492,3.137,0.899,0.07,13.875,6.346,0.485,4.612,37.09,1922.074,243.112,1678.606,1019.64,159.805,22.83,108.632,4875.946,17.03,146.933
11,0.0,2.855,17.624,27.977,0.002,25.905,6.054,27.762,1933.412,336.862,1649.78,1007.754,133.372,82.182,107.368,4872.118,7.942,161.221,0.0,1.204,0.883,19.217,0.662,9.062,5.42,36.705,1928.585,275.111,1672.32,1017.352,150.504,44.24,107.972,4881.536,12.749,153.608,3.254,0.877,0.052,12.472,6.836,0.382,4.551,37.114,1923.919,239.903,1684.176,1023.474,160.099,19.113,108.784,4881.619,18.316,145.206
12,0.0,3.585,16.752,24.727,0.003,22.567,5.99,27.726,1932.557,322.682,1656.059,1011.719,136.877,71.342,107.523,4874.156,9.298,159.193,0.0,1.205,0.842,17.062,0.95,7.923,5.423,36.276,1928.942,267.135,1676.877,1020.906,151.887,38.527,108.113,4883.685,13.767,152.176,3.182,0.874,0.06,11.475,6.342,0.535,4.66,36.904,1925.351,237.351,1686.929,1025.971,160.005,18.012,108.811,4884.446,18.396,145.188
13,0.0,2.095,10.383,21.702,0.003,21.376,6.065,27.55,1931.025,307.146,1659.272,1014.122,137.567,67.737,107.569,4866.275,9.627,158.804,0.0,1.062,0.617,15.064,0.79,6.989,5.454,35.971,1928.997,258.906,1679.793,1023.305,152.823,34.252,108.156,4882.341,14.629,151.003,3.393,0.849,0.041,9.471,6.45,0.341,4.648,36.49,1925.603,230.116,1690.935,1028.279,160.366,14.07,108.905,4883.134,19.552,143.575
14,0.0,2.692,10.652,20.267,0.003,19.419,5.996,27.397,1930.653,298.02,1662.245,1015.642,139.281,60.181,107.646,4863.484,10.715,157.116,0.0,1.034,0.568,12.849,1.064,6.067,5.431,35.615,1928.255,247.173,1682.161,1024.692,153.701,28.638,108.235,4875.169,15.914,149.166,3.487,0.825,0.041,7.428,6.516,0.417,4.653,36.169,1925.1,219.634,1692.629,1028.819,160.27,11.121,108.944,4874.284,20.551,142.179
15,0.0,2.115,9.319,20.148,0.003,19.426,5.864,27.219,1929.48,285.5,1663.972,1015.806,138.994,58.26,107.672,4852.435,10.911,156.674,0.0,0.988,0.522,11.937,0.978,5.93,5.379,35.365,1927.861,238.87,1683.926,1024.709,153.659,26.157,108.257,4868.1,16.542,148.173,3.638,0.804,0.036,6.109,6.546,0.433,4.616,35.828,1924.679,211.49,1694.513,1028.421,160.141,9.033,108.978,4866.936,21.425,140.865
16,0.0,1.248,3.737,17.996,0.003,19.309,5.815,27.138,1925.866,248.246,1662.297,1014.214,138.886,55.777,107.645,4816.994,10.204,157.549,0.0,0.851,0.34,10.562,0.932,5.26,5.288,35.705,1926.294,218.554,1683.853,1023.826,154.27,22.394,108.248,4850.013,17.096,147.253,4.033,0.754,0.02,4.152,7.521,0.388,4.394,35.871,1923.021,193.413,1696.631,1026.901,160.272,5.735,109.088,4850.235,22.912,138.566
17,0.0,1.272,3.847,15.874,0.003,18.778,5.716,27.213,1922.826,220.44,1659.287,1010.965,139.078,52.568,107.595,4786.513,10.299,157.229,0.0,0.776,0.291,8.448,1.08,4.595,5.16,36.285,1923.91,191.92,1682.652,1021.026,155.072,18.102,108.215,4823.802,18.285,145.375,4.564,0.696,0.016,2.075,8.231,0.563,4.195,36.278,1920.498,168.408,1696.538,1022.767,160.326,3.567,109.07,4823.575,24.509,136.055
18,0.0,1.338,4.263,15.633,0.003,19.377,5.632,27.364,1920.052,201.872,1657.332,1006.79,138.636,51.95,107.467,4762.662,10.582,156.679,0.0,0.734,0.281,7.337,1.178,4.894,5.077,36.325,1921.219,171.75,1679.862,1016.435,154.65,17.451,108.065,4797.621,18.634,144.669,4.827,0.653,0.017,1.452,7.526,0.766,4.214,36.563,1918.058,149.146,1692.586,1017.754,159.992,3.554,108.772,4797.414,24.769,135.476
19,0.0,1.246,4.496,16.948,0.002,20.825,5.58,27.451,1918.902,194.026,1652.472,1002.064,136.971,54.927,107.2,4743.618,9.672,157.89,0.0,0.729,0.325,7.486,0.815,5.319,5.066,36.477,1919.099,157.592,1674.753,1011.726,154.092,17.872,107.779,4774.68,18.13,145.224,5.12,0.614,0.016,1.157,7.189,0.83,4.206,36.637,1915.394,133.256,1687.448,1012.839,159.839,3.117,108.468,4773.032,24.832,135.17
20,0.0,1.487,5.738,19.31,0.002,23.884,5.54,27.522,1919.587,197.371,1645.448,996.92,133.588,62.288,106.873,4729.207,8.475,159.541,0.0,0.741,0.378,8.19,0.676,6.333,5.03,36.675,1917.88,150.276,1668.001,1006.71,152.676,20.566,107.45,4754.61,17.004,146.66,5.194,0.582,0.017,1.152,7.204,0.95,4.153,36.809,1913.204,122.07,1681.039,1007.848,159.516,3.337,108.154,4751.307,24.528,135.377
21,0.0,1.205,4.621,21.274,0.001,29.747,5.59,27.6,1920.507,197.472,1634.487,991.36,127.128,77.099,106.482,4703.621,5.929,163.041,0.0,0.785,0.554,9.078,0.292,7.877,5.012,37.415,1917.703,145.858,1659.144,1001.946,150.622,25.094,107.068,4735.161,15.117,149.172,5.756,0.562,0.014,0.679,8.034,0.916,3.988,37.136,1910.882,110.844,1675.333,1002.799,159.534,2.515,107.86,4730.052,25.156,134.169
22,0.0,1.482,5.611,22.626,0.002,30.47,5.608,27.754,1918.797,188.2,1627.352,986.463,126.56,77.961,106.138,4682.359,6.503,162.023,0.0,0.699,0.338,9.703,0.824,8.962,4.974,37.398,1916.152,139.234,1651.088,997.06,149.074,28.577,106.726,4714.291,13.882,150.667,5.031,0.534,0.017,1.47,7.863,1.124,3.998,37.528,1910.115,107.992,1664.998,998.856,158.659,5.122,107.472,4713.483,22.951,137.1
23,0.0,1.298,5.159,26.052,0.002,30.66,5.581,27.906,1917.182,181.649,1619.409,983.096,126.509,78.19,105.884,4665.79,5.945,162.705,0.0,0.685,0.336,10.794,0.668,7.79,4.985,37.97,1914.892,134.549,1643.121,994.673,150.253,26.353,106.485,4702.511,13.843,150.576,5.194,0.525,0.013,1.443,8.68,0.656,3.881,37.801,1908.942,104.667,1655.924,996.707,159.003,3.902,107.372,4700.095,22.733,137.243
24,0.0,1.382,5.683,29.337,0.001,36.187,5.57,28.049,1918.565,185.058,1606.92,978.574,120.942,90.872,105.574,4643.809,4.654,164.481,0.0,0.711,0.424,11.997,0.43,8.561,4.932,39.017,1914.591,130.624,1633.288,991.233,149.456,27.889,106.199,4685.412,13.405,151.039,5.643,0.501,0.011,0.978,9.967,0.885,3.653,38.358,1906.701,96.03,1648.588,992.068,159.084,2.635,107.205,4679.424,24.272,134.746
25,0.0,2.077,9.968,33.167,0.002,38.302,5.683,28.547,1920.072,197.28,1598.169,974.618,119.089,95.159,105.212,4638.515,5.134,163.711,0.0,0.778,0.584,14.496,0.386,11.657,4.959,39.205,1913.841,133.194,1622.114,985.938,146.093,35.054,105.794,4665.195,12.199,152.544,0.23,0.483,0.041,5.207,5.461,1.71,4.155,40.772,1906.388,102.166,1633.693,988.115,157.699,6.71,106.306,4664.752,21.822,138.069
26,0.0,3.317,21.28,35.247,0.002,35.637,5.899,29.468,1922.534,224.448,1590.48,973.029,121.57,91.077,104.607,4657.077,5.459,163.214,0.0,0.937,2.583,20.262,0.035,18.197,5.219,38.03,1914.442,153.0,1605.52,980.188,138.89,51.928,105.099,4647.714,9.08,156.907,0.161,0.641,0.17,12.396,1.074,4.028,4.833,41.66,1908.123,121.425,1616.051,986.038,154.051,18.212,105.385,4659.484,15.859,146.598
27,0.0,5.561,33.984,37.785,0.003,33.374,6.099,29.275,1926.445,265.879,1577.222,970.795,120.415,96.797,103.754,4676.46,4.729,164.507,0.0,1.162,7.117,26.56,0.003,26.212,5.604,35.719,1917.539,189.055,1585.94,975.901,129.193,77.492,104.199,4640.379,5.367,162.363,0.112,1.013,0.695,20.938,0.132,14.411,5.341,38.749,1911.815,157.282,1594.43,980.456,141.439,50.596,104.382,4646.069,7.42,158.8
28,0.0,4.534,37.406,41.566,0.002,39.034,6.309,28.036,1930.239,302.706,1558.971,965.753,108.995,126.536,102.784,4666.794,3.282,166.865,0.0,1.196,8.154,32.728,0.002,36.006,5.892,33.403,1921.416,225.957,1566.811,970.49,116.14,111.105,103.213,4627.081,3.138,165.84,0.102,1.162,0.825,27.911,0.103,24.854,5.659,35.97,1915.414,193.158,1575.801,974.916,128.384,84.364,103.371,4632.71,3.846,164.145
29,0.0,5.469,40.267,44.263,0.002,46.176,6.345,27.037,1934.472,335.522,1540.949,960.623,95.799,160.648,101.837,4650.986,2.586,167.959,0.0,1.303,8.791,37.014,0.002,45.042,6.051,31.85,1924.721,253.943,1548.9,965.392,103.347,144.307,102.259,4607.934,2.355,167.124,0.097,1.263,0.923,32.746,0.092,33.682,5.851,34.233,1918.242,219.407,1558.692,970.049,116.506,115.632,102.409,4614.723,2.797,165.801
30,0.0,6.844,43.727,44.302,0.003,46.04,6.425,25.86,1937.755,375.461,1525.108,955.333,85.614,187.668,100.809,4646.783,2.584,168.148,0.0,1.621,13.277,40.502,0.002,50.979,6.153,29.965,1928.935,294.361,1532.662,959.837,90.452,177.874,101.224,4599.553,2.064,167.792,0.08,1.552,1.722,37.822,0.055,45.445,6.005,31.856,1923.527,260.993,1540.826,963.137,99.055,159.205,101.36,4596.894,2.134,167.109
31,0.0,7.793,44.452,41.333,0.003,42.239,6.402,24.835,1941.67,403.7,1524.125,957.793,83.468,201.688,100.56,4673.663,2.846,168.248,0.0,2.036,4.767,37.074,0.19,40.447,6.156,30.648,1933.588,322.402,1541.942,964.793,92.632,183.355,101.09,4647.17,2.486,167.63,2.649,1.138,0.242,32.611,4.42,29.106,5.725,30.896,1928.471,282.034,1552.27,972.815,106.777,155.063,101.745,4658.156,2.814,166.572
32,0.0,5.303,38.262,39.447,0.003,37.015,6.408,24.908,1943.041,410.378,1532.074,964.97,88.524,201.5,100.668,4709.456,3.381,167.711,0.0,1.846,3.071,33.35,0.293,28.547,6.115,31.632,1936.814,334.924,1552.763,973.075,100.479,177.172,101.219,4697.682,3.479,166.564,2.665,1.096,0.179,28.317,5.177,15.66,5.621,31.773,1932.128,295.784,1563.301,981.325,114.886,148.304,101.906,4710.642,4.312,164.811
33,0.0,5.051,32.099,36.886,0.003,31.588,6.436,25.272,1944.209,411.393,1541.137,972.973,95.674,196.09,100.794,4745.971,4.417,166.402,0.0,1.716,2.215,30.436,0.353,18.319,6.11,32.443,1938.679,339.063,1562.231,981.758,109.631,167.264,101.352,4741.521,5.37,164.105,2.703,1.061,0.137,24.943,5.556,4.434,5.552,32.617,1934.265,300.875,1573.502,990.304,124.184,137.785,102.07,4755.984,7.407,160.676
34,0.0,5.663,33.339,33.169,0.003,27.044,6.386,25.664,1946.551,416.719,1550.39,981.478,102.078,188.209,100.934,4782.953,6.246,163.901,0.0,1.748,2.221,27.048,0.369,12.385,6.036,33.196,1940.618,341.481,1572.032,990.556,116.412,157.715,101.495,4776.477,8.644,159.642,2.835,1.084,0.137,21.676,5.691,0.458,5.407,33.393,1936.087,302.568,1583.368,999.073,128.838,128.188,102.212,4782.715,12.494,153.677
35,0.0,4.38,24.52,29.534,0.003,22.113,6.255,25.989,1943.549,398.35,1562.314,990.693,107.674,174.021,101.077,4794.477,8.504,160.657,0.0,1.669,1.875,23.728,0.442,9.75,5.927,33.246,1941.309,341.994,1582.075,999.234,119.812,147.937,101.618,4798.279,11.331,155.958,2.775,1.1,0.142,19.099,4.928,0.439,5.374,33.746,1938.181,310.015,1592.157,1006.476,129.598,123.696,102.229,4803.173,15.105,150.193
36,0.0,2.749,13.678,24.911,0.003,20.454,6.213,26.006,1939.085,373.085,1570.016,998.148,109.752,163.869,101.103,4785.855,9.608,159.116,0.0,1.377,1.112,20.517,0.449,7.701,5.824,33.096,1939.267,328.494,1588.704,1007.056,122.568,135.635,101.643,4800.183,13.461,153.012,3.009,1.063,0.092,15.929,5.103,0.19,5.21,33.572,1936.96,300.619,1600.276,1014.66,130.645,111.862,102.295,4805.018,17.758,146.514
37,0.0,2.598,10.398,21.244,0.003,20.125,6.084,26.023,1936.148,352.356,1575.068,1005.293,109.917,152.393,101.129,4772.417,10.128,158.414,0.0,1.255,0.839,16.571,0.53,6.642,5.686,33.404,1936.714,308.4,1594.502,1015.09,124.02,120.667,101.682,4790.545,15.123,150.665,3.194,1.032,0.072,11.782,5.667,0.137,4.991,33.734,1934.374,280.437,1607.041,1023.1,131.31,95.976,102.376,4793.153,20.112,143.158
38,0.0,2.834,11.603,19.983,0.003,21.214,5.959,26.14,1934.908,339.53,1579.47,1012.542,108.923,141.281,101.149,4762.302,10.192,158.309,0.0,1.23,0.832,13.593,0.533,6.524,5.528,33.849,1934.586,290.231,1599.766,1022.878,124.284,106.236,101.707,4778.688,16.152,149.187,3.354,1.001,0.065,8.15,5.995,0.124,4.786,34.097,1931.829,260.307,1612.737,1031.22,131.629,79.956,102.421,4779.126,21.838,140.669
39,0.0,2.292,9.405,18.52,0.003,20.162,5.997,26.297,1931.528,318.918,1585.144,1020.624,110.191,124.198,101.175,4750.025,10.911,157.214,0.0,1.154,0.714,11.544,0.653,6.337,5.456,33.879,1932.207,274.491,1604.493,1030.732,124.613,91.489,101.724,4768.259,16.615,148.49,3.37,0.961,0.062,6.186,5.598,0.149,4.742,34.318,1929.882,246.952,1616.169,1038.291,131.673,67.572,102.365,4769.519,22.037,140.381
40,0.0,1.625,5.489,16.641,0.003,19.878,6.004,26.354,1927.961,291.354,1586.449,1026.597,110.338,111.082,101.086,4725.724,10.456,157.783,0.0,1.075,0.638,9.862,0.448,5.773,5.444,34.157,1929.443,254.48,1606.308,1037.188,125.354,76.864,101.636,4751.692,17.259,147.52,3.786,0.947,0.045,3.923,5.989,0.093,4.632,34.417,1926.831,226.76,1620.266,1045.743,132.059,50.641,102.347,4752.689,23.494,138.214
41,0.0,1.778,6.549,19.47,0.003,20.386,5.78,26.467,1925.56,272.615,1587.135,1032.092,109.719,98.277,100.965,4705.321,10.496,157.558,0.0,1.02,0.587,9.033,0.535,5.7,5.323,34.482,1926.678,232.078,1607.716,1043.163,125.52,61.856,101.519,4730.348,17.872,146.502,4.044,0.887,0.04,2.446,6.039,0.108,4.541,34.743,1923.875,204.426,1621.908,1051.539,132.293,35.332,102.188,4731.058,24.663,136.399
42,0.0,1.636,5.895,22.045,0.002,21.686,5.661,26.584,1922.968,257.159,1586.59,1036.584,108.024,89.557,100.786,4684.472,9.852,158.334,0.0,0.984,0.583,10.28,0.463,6.097,5.203,34.756,1924.179,215.3,1607.519,1047.71,124.984,50.424,101.338,4710.791,17.795,146.45,4.207,0.83,0.033,2.521,6.259,0.116,4.4,34.981,1921.02,185.875,1622.153,1055.869,132.389,22.698,102.043,4711.094,25.407,135.162
43,0.0,1.556,5.375,21.406,0.002,23.139,5.576,26.712,1920.765,242.252,1584.181,1039.227,106.424,82.722,100.618,4662.572,9.111,159.336,0.0,0.921,0.507,10.37,0.515,6.177,5.092,35.265,1921.766,198.704,1606.137,1050.747,124.756,40.667,101.184,4691.105,17.598,146.576,4.425,0.765,0.026,2.378,6.962,0.145,4.198,35.333,1918.171,168.259,1621.345,1057.975,132.407,13.173,101.96,4690.584,26.02,134.079
44,0.0,1.303,4.188,20.493,0.002,25.932,5.565,26.873,1918.988,225.366,1578.942,1039.135,103.489,82.194,100.421,4634.222,7.554,161.416,0.0,0.889,0.519,9.865,0.402,6.538,4.998,36.125,1919.933,183.267,1602.948,1051.277,124.316,34.818,101.003,4670.592,17.143,147.065,4.968,0.705,0.018,1.458,7.95,0.196,3.964,35.861,1915.201,149.756,1620.355,1057.107,132.61,6.598,101.869,4668.538,27.241,132.085
45,0.0,1.403,4.606,19.38,0.002,25.941,5.553,27.113,1916.265,207.355,1575.705,1037.805,103.505,76.917,100.236,4610.812,7.981,160.634,0.0,0.791,0.37,9.126,0.713,6.611,4.929,36.512,1917.274,166.562,1599.696,1049.736,124.233,30.559,100.817,4648.474,17.026,147.008,4.945,0.65,0.018,1.539,7.792,0.331,3.932,36.448,1912.899,136.526,1615.404,1053.664,132.41,6.11,101.591,4648.047,26.719,132.617
46,0.0,1.845,8.488,20.179,0.002,25.219,5.495,27.369,1915.72,212.102,1574.342,1036.677,104.56,71.607,100.097,4611.342,8.837,159.438,0.0,0.794,0.407,9.06,0.891,6.403,4.91,36.44,1914.718,158.758,1596.036,1047.693,124.515,27.348,100.66,4634.079,17.245,146.585,4.761,0.628,0.021,2.02,7.224,0.398,4.005,36.691,1910.915,130.37,1608.116,1051.008,132.055,6.333,101.37,4632.225,25.193,134.704
47,0.0,1.719,8.535,23.78,0.002,28.826,5.496,27.503,1916.312,220.209,1568.838,1034.37,100.92,79.096,99.93,4604.001,7.332,161.637,0.0,0.816,0.454,10.218,0.618,7.231,4.916,36.872,1914.01,159.952,1591.023,1045.484,123.579,28.506,100.496,4625.799,16.12,148.159,4.904,0.615,0.019,1.962,7.667,0.414,3.929,36.88,1909.068,126.603,1603.328,1048.56,132.063,5.239,101.3,4620.703,24.918,134.998
48,0.0,1.781,8.895,26.014,0.002,33.648,5.537,27.643,1917.448,227.659,1561.354,1030.999,96.325,89.23,99.757,4592.158,5.962,163.514,0.0,0.816,0.46,11.327,0.581,8.389,4.892,37.579,1913.552,158.734,1585.2,1042.773,122.266,31.156,100.344,4614.445,14.75,150.009,5.021,0.597,0.017,1.841,8.561,0.503,3.779,37.344,1907.4,121.367,1599.053,1045.493,132.064,4.777,101.246,4608.299,24.936,134.804
49,0.0,2.397,13.252,28.585,0.001,38.348,5.63,27.852,1920.1,242.501,1554.818,1027.772,91.952,99.486,99.626,4588.442,5.223,164.401,0.0,0.845,0.503,12.146,0.655,9.761,4.89,38.323,1913.642,160.909,1580.08,1040.14,120.845,34.706,100.23,4606.874,13.493,151.643,4.942,0.591,0.018,2.045,9.148,0.575,3.69,37.973,1906.507,119.584,1593.889,1042.96,131.965,5.423,101.173,4599.403,24.201,135.686
50,0.0,3.568,22.263,31.195,0.002,37.052,5.596,28.176,1921.75,255.97,1553.052,1026.789,93.393,97.008,99.648,4599.989,5.901,163.345,0.0,0.963,0.683,13.937,1.02,11.142,4.908,38.506,1914.262,170.627,1577.298,1038.568,119.424,39.079,100.247,4608.907,12.552,152.86,4.313,0.629,0.033,4.06,8.576,0.791,3.83,38.567,1907.752,129.89,1587.765,1042.596,131.288,9.539,101.099,4603.558,21.245,139.866
51,0.0,3.259,24.066,32.471,0.002,34.111,5.632,28.454,1921.06,261.354,1552.614,1028.162,96.688,91.446,99.744,4611.654,6.223,163.071,0.0,1.032,0.797,16.131,0.882,10.946,4.963,38.632,1915.223,183.309,1575.956,1039.343,119.669,40.602,100.332,4620.632,11.887,153.881,4.009,0.678,0.039,6.608,8.039,0.613,3.964,38.86,1909.589,144.673,1585.239,1044.442,131.199,12.048,101.17,4617.518,19.192,142.868
52,0.0,4.801,28.935,33.349,0.002,31.789,5.605,28.606,1922.298,276.023,1553.177,1030.499,99.65,86.357,99.886,4632.692,6.696,162.592,0.0,1.173,1.025,18.041,0.841,10.772,5.015,38.578,1916.071,195.541,1575.877,1041.107,120.244,40.872,100.468,4634.177,11.826,154.152,3.797,0.724,0.052,9.128,7.555,0.67,4.087,38.937,1910.972,157.781,1584.561,1046.415,131.264,13.754,101.269,4631.343,18.218,144.441
53,0.0,5.269,33.443,34.493,0.002,29.684,5.602,28.641,1923.913,292.085,1555.739,1033.383,102.343,82.467,100.046,4657.21,7.166,162.116,0.0,1.342,1.414,20.091,0.648,11.243,5.045,38.344,1917.905,213.268,1578.18,1043.102,120.186,43.211,100.615,4654.253,11.577,154.735,3.576,0.786,0.073,11.812,6.803,0.809,4.218,38.838,1913.022,175.268,1586.376,1048.729,131.364,16.544,101.365,4652.318,17.282,146.036
54,0.0,5.198,34.342,33.28,0.002,29.963,5.805,28.578,1925.828,309.82,1558.167,1035.929,102.4,85.022,100.168,4678.557,6.963,162.762,0.0,1.371,1.505,21.21,0.504,11.568,5.139,38.182,1919.645,228.067,1580.833,1045.513,120.238,45.601,100.739,4673.184,11.281,155.427,3.54,0.815,0.072,13.293,6.783,0.624,4.264,38.645,1914.646,188.463,1590.215,1051.725,131.982,17.221,101.53,4672.252,17.24,146.337
55,0.0,7.208,37.567,31.7,0.003,26.962,6.063,28.469,1928.39,335.515,1564.285,1039.629,105.875,79.654,100.357,4716.424,7.861,161.681,0.0,1.668,2.112,21.061,0.518,11.644,5.33,37.648,1921.902,249.67,1586.111,1048.497,120.592,47.598,100.914,4701.15,11.37,155.625,3.242,0.902,0.117,14.558,5.861,1.162,4.545,38.314,1917.345,210.063,1594.161,1054.329,131.645,22.18,101.582,4699.02,16.113,148.323
56,0.001,5.387,33.936,32.989,0.003,24.334,6.198,28.148,1928.838,351.159,1571.671,1043.335,108.47,78.39,100.461,4746.139,8.395,161.254,0.0,1.637,2.228,22.249,0.385,11.259,5.577,36.648,1924.225,274.739,1591.862,1051.534,121.258,50.74,101.001,4733.922,11.363,155.994,3.113,0.957,0.124,15.813,5.192,0.942,4.877,37.443,1920.268,236.844,1600.736,1057.7,132.146,26.008,101.644,4734.652,15.656,149.368
