t_saat,AN_SO2,AN_SF,AN_SA,AN_SNH4,AN_SNO3,AN_SPO4,AN_SALK,AN_SN2,AN_XI,AN_XS,AN_XH,AN_XPAO,AN_XPP,AN_XPHA,AN_XAUT,AN_XTSS,AN_XMeOH,AN_XMeP,AX_SO2,AX_SF,AX_SA,AX_SNH4,AX_SNO3,AX_SPO4,AX_SALK,AX_SN2,AX_XI,AX_XS,AX_XH,AX_XPAO,AX_XPP,AX_XPHA,AX_XAUT,AX_XTSS,AX_XMeOH,AX_XMeP,AE_SO2,AE_SF,AE_SA,AE_SNH4,AE_SNO3,AE_SPO4,AE_SALK,AE_SN2,AE_XI,AE_XS,AE_XH,AE_XPAO,AE_XPP,AE_XPHA,AE_XAUT,AE_XTSS,AE_XMeOH,AE_XMeP
10,0.0,2.997,13.317,22.761,0.004,20.933,6.209,27.296,1818.325,242.006,1544.45,998.3,140.663,83.38,109.989,4641.593,10.785,163.698,0.0,1.165,0.705,15.104,1.031,6.374,5.655,35.405,1815.181,193.138,1563.498,1007.134,155.933,51.632,110.587,4655.666,15.7,155.846,3.1,0.901,0.052,9.43,6.39,0.169,4.882,35.984,1811.942,166.609,1573.061,1012.244,162.897,31.72,111.304,4655.374,20.178,148.996
11,0.0,2.752,10.268,20.156,0.003,20.939,6.174,27.132,1818.203,229.582,1549.044,1001.089,140.512,80.341,110.13,4636.485,10.865,163.634,0.0,1.06,0.555,13.029,0.974,5.613,5.646,35.311,1815.457,181.961,1568.459,1010.291,156.769,46.279,110.732,4653.932,16.787,154.451,3.352,0.87,0.038,7.24,6.752,0.123,4.819,35.718,1812.132,155.278,1578.765,1015.443,163.107,26.126,111.496,4651.873,21.67,147.032
12,0.0,2.534,8.787,17.66,0.004,20.149,6.15,27.055,1817.404,215.329,1553.387,1003.704,141.368,73.557,110.278,4629.847,11.48,162.752,0.0,0.987,0.476,10.616,1.202,5.289,5.587,35.101,1815.188,169.891,1572.312,1012.884,157.175,40.536,110.88,4648.004,17.604,153.334,3.479,0.825,0.035,5.132,6.757,0.139,4.786,35.584,1812.108,144.7,1582.143,1017.613,163.175,21.677,111.602,4646.104,22.533,145.883
13,0.0,1.689,5.013,15.727,0.003,20.419,6.145,26.99,1815.406,194.666,1553.884,1004.69,140.542,70.971,110.301,4609.992,10.747,163.643,0.0,0.874,0.359,8.665,0.916,4.551,5.584,35.413,1814.447,155.197,1574.052,1014.517,157.978,34.544,110.906,4637.927,18.491,152.044,4.065,0.788,0.022,2.676,7.228,0.098,4.678,35.577,1811.09,129.671,1585.489,1019.205,163.481,14.83,111.692,4634.525,24.253,143.383
14,0.001,1.325,2.878,12.916,0.006,16.943,6.062,27.019,1811.517,157.857,1555.247,1005.252,144.459,56.344,110.262,4583.87,12.593,160.787,0.0,0.753,0.26,6.68,1.239,3.972,5.51,35.005,1812.122,133.748,1573.793,1014.515,158.698,27.318,110.849,4616.94,19.768,150.065,4.338,0.713,0.02,1.69,6.464,0.136,4.748,35.553,1809.647,114.774,1584.22,1018.341,163.508,11.365,111.478,4617.551,25.101,142.073
15,0.0,1.248,2.859,12.068,0.005,14.664,6.012,26.859,1808.221,135.004,1553.183,1003.959,147.33,45.6,110.034,4562.864,14.33,158.211,0.0,0.702,0.27,5.677,0.936,3.178,5.517,34.458,1809.413,113.526,1570.585,1012.623,160.095,19.853,110.593,4593.824,21.804,147.057,4.914,0.647,0.017,1.055,5.731,0.142,4.824,34.979,1807.124,97.401,1580.38,1015.583,163.939,6.869,111.149,4594.106,26.744,139.609
16,0.0,1.445,3.878,12.168,0.003,16.508,6.082,26.659,1807.533,134.948,1547.217,1000.128,145.247,48.189,109.665,4547.984,13.702,158.983,0.0,0.702,0.328,5.575,0.685,3.821,5.543,34.134,1807.439,103.245,1564.713,1008.508,159.634,18.58,110.214,4572.495,22.434,146.016,5.296,0.578,0.017,0.804,5.428,0.225,4.847,34.576,1804.472,84.126,1574.671,1010.697,164.341,4.729,110.745,4571.201,28.501,136.926
17,0.001,1.057,2.314,12.362,0.005,16.296,6.123,26.481,1805.4,120.333,1540.228,995.385,145.034,47.797,109.255,4523.439,13.283,159.411,0.0,0.657,0.292,5.579,0.666,4.188,5.598,33.744,1805.685,96.24,1557.164,1003.576,159.017,19.44,109.797,4552.736,21.905,146.584,5.344,0.544,0.016,0.794,5.234,0.249,4.908,34.226,1802.503,77.662,1566.861,1005.681,164.312,4.947,110.313,4552.577,28.655,136.516
18,0.0,1.654,4.621,13.835,0.004,16.625,6.022,26.281,1804.938,124.556,1532.494,990.636,144.904,47.681,108.853,4513.629,13.889,158.404,0.0,0.654,0.319,5.992,0.736,3.983,5.59,33.311,1803.783,90.223,1548.762,998.696,159.246,18.318,109.394,4534.025,22.408,145.705,5.29,0.513,0.017,0.929,5.279,0.261,4.928,33.784,1800.552,72.095,1557.461,1000.696,164.208,4.692,109.925,4532.84,28.68,136.317
19,0.0,1.564,5.153,16.205,0.003,20.427,5.916,26.104,1805.703,138.678,1523.208,985.703,140.735,57.664,108.492,4504.87,11.656,161.449,0.0,0.682,0.345,6.891,0.661,4.852,5.552,33.33,1803.283,94.553,1540.205,994.125,158.091,21.383,109.043,4523.071,21.235,147.209,5.303,0.51,0.016,0.97,5.796,0.265,4.841,33.561,1799.141,71.518,1548.929,996.124,164.14,4.872,109.64,4518.852,28.681,136.124
20,0.0,1.347,4.078,18.633,0.001,26.929,5.86,26.068,1807.094,145.084,1510.555,980.211,133.367,74.88,108.086,4482.081,7.491,167.241,0.0,0.744,0.526,7.792,0.243,6.132,5.51,34.125,1803.478,95.363,1530.411,989.719,156.357,26.007,108.65,4508.395,19.293,149.786,6.11,0.507,0.011,0.457,6.793,0.248,4.641,33.809,1797.046,66.017,1542.761,991.42,164.427,3.219,109.315,4501.855,30.266,133.515
21,0.0,1.367,4.147,21.388,0.002,33.279,5.798,26.133,1807.809,145.363,1497.832,974.235,126.928,89.738,107.606,4454.078,5.976,169.241,0.0,0.726,0.465,8.796,0.326,8.614,5.446,34.599,1803.298,93.619,1519.476,984.18,153.107,33.771,108.17,4486.72,16.331,153.711,5.956,0.467,0.012,0.578,7.278,0.324,4.523,34.246,1795.232,61.321,1534.196,985.89,164.331,4.255,108.812,4483.448,30.697,132.505
22,0.0,1.402,4.56,23.34,0.002,33.624,5.8,26.298,1806.137,140.33,1489.298,969.775,126.777,90.46,107.222,4436.468,6.323,168.529,0.0,0.669,0.333,9.759,0.6,8.453,5.386,35.015,1802.044,91.637,1510.899,980.384,153.097,35.087,107.795,4473.417,15.737,154.268,5.435,0.465,0.012,0.989,7.736,0.259,4.419,34.752,1794.958,62.71,1523.141,983.126,163.796,6.401,108.525,4471.759,28.432,135.488
23,0.0,2.256,9.2,25.098,0.002,32.32,5.792,26.546,1806.583,150.19,1482.891,967.583,128.543,87.196,107.021,4439.429,7.084,167.313,0.0,0.683,0.339,10.615,1.032,7.562,5.319,35.331,1801.093,93.397,1503.353,978.506,154.152,33.582,107.616,4467.387,16.153,153.486,4.926,0.482,0.015,1.716,8.17,0.237,4.329,35.234,1795.18,66.463,1512.799,981.834,163.285,8.117,108.424,4464.343,26.028,138.79
24,0.0,3.071,16.572,27.441,0.002,32.018,5.793,26.808,1810.436,178.647,1477.663,967.199,129.279,87.018,107.016,4460.458,7.442,166.68,0.0,0.816,0.494,12.09,1.347,8.055,5.258,35.659,1802.384,106.595,1497.827,977.783,153.754,35.553,107.628,4472.55,15.592,154.201,4.398,0.534,0.024,3.005,8.463,0.266,4.271,35.652,1796.43,75.769,1505.289,981.536,162.932,10.563,108.473,4466.37,23.874,141.838
25,0.0,3.312,21.301,29.74,0.002,33.405,5.977,27.548,1814.119,202.111,1470.826,966.518,127.821,93.587,106.657,4473.044,6.765,167.577,0.0,1.077,1.857,16.062,0.084,13.303,5.455,35.793,1805.017,127.42,1487.441,974.645,148.139,49.465,107.178,4468.647,13.022,157.776,0.161,0.62,0.111,9.014,2.076,0.828,5.022,38.486,1798.462,94.887,1496.175,979.895,162.149,17.645,107.511,4474.049,21.904,144.581
26,0.0,3.819,24.107,33.028,0.002,33.869,6.1,28.121,1815.694,220.025,1461.287,964.544,126.583,102.622,105.945,4478.386,5.959,168.836,0.0,1.16,4.152,21.423,0.006,21.579,5.728,34.433,1807.444,149.853,1470.739,970.018,138.843,75.753,106.413,4454.932,8.376,164.345,0.118,0.956,0.468,15.384,0.202,6.926,5.487,37.638,1801.477,118.806,1480.343,975.111,154.272,43.962,106.639,4468.416,13.955,155.826
27,0.0,4.467,27.288,37.784,0.002,37.08,6.199,27.541,1818.29,244.059,1446.918,960.031,119.684,125.891,105.102,4473.139,3.977,171.823,0.0,1.291,5.131,27.365,0.004,29.387,5.924,32.837,1810.056,173.512,1454.608,964.853,129.122,105.623,105.548,4442.819,4.467,170.008,0.105,1.131,0.633,21.986,0.143,15.896,5.762,35.489,1804.376,143.084,1463.44,969.29,143.053,77.463,105.738,4454.531,6.288,166.77
28,0.0,4.528,29.469,40.678,0.003,40.706,6.31,26.669,1820.76,270.044,1431.871,954.764,110.364,154.97,104.217,4463.241,3.201,173.247,0.0,1.411,6.289,32.654,0.003,37.122,6.073,31.351,1812.928,197.722,1439.313,959.427,118.39,138.139,104.655,4429.168,3.052,172.219,0.097,1.294,0.816,28.125,0.115,25.59,5.934,33.674,1807.476,166.75,1447.902,963.471,131.088,112.561,104.83,4438.08,3.738,170.569
29,0.0,5.228,29.927,42.143,0.003,44.552,6.441,25.797,1822.232,288.312,1417.233,949.054,99.338,187.796,103.311,4443.26,2.753,174.104,0.0,1.528,6.873,36.515,0.003,44.323,6.194,29.968,1815.362,219.969,1424.534,953.612,106.554,172.904,103.743,4411.336,2.433,173.374,0.093,1.421,0.934,32.949,0.102,34.237,6.061,32.075,1810.246,189.603,1433.365,957.507,118.726,148.505,103.909,4420.172,2.784,172.192
30,0.0,6.556,33.373,41.828,0.003,47.329,6.584,25.003,1825.34,312.592,1403.529,943.166,88.083,221.078,102.39,4429.061,2.553,174.566,0.0,1.711,8.516,38.96,0.002,50.347,6.319,28.728,1817.852,241.253,1410.687,947.629,94.284,208.635,102.816,4392.497,2.111,174.058,0.088,1.572,1.169,36.457,0.087,42.296,6.183,30.603,1812.889,211.055,1419.26,951.197,105.258,186.675,102.974,4398.758,2.281,173.179
31,0.0,4.759,28.267,41.327,0.003,43.009,6.581,24.402,1825.491,310.735,1403.779,944.674,88.977,235.44,102.321,4440.742,2.839,174.375,0.0,1.777,2.047,35.374,0.378,35.96,6.319,30.315,1820.203,245.028,1421.682,952.295,102.416,209.87,102.885,4438.105,2.734,173.441,2.549,1.081,0.135,29.938,5.503,22.235,5.794,30.301,1815.709,208.704,1432.751,959.936,118.667,180.908,103.678,4459.299,3.321,171.991
32,0.0,4.552,22.092,36.322,0.003,33.154,6.566,24.717,1824.016,292.601,1413.953,951.352,101.244,228.698,102.662,4476.46,4.068,172.678,0.0,1.557,1.265,31.184,0.693,18.103,6.31,31.734,1820.539,234.653,1434.073,960.45,118.082,196.791,103.248,4491.27,4.947,170.507,2.579,1.029,0.102,25.805,6.41,4.461,5.712,31.682,1816.953,202.862,1444.612,967.683,132.875,170.2,104.039,4512.015,6.643,167.55
33,0.001,4.53,18.293,28.189,0.004,23.042,6.489,25.271,1821.979,274.34,1426.99,959.463,114.413,212.504,103.014,4512.05,7.374,168.186,0.0,1.513,1.145,25.147,0.837,8.601,6.211,32.295,1820.086,224.611,1445.529,968.189,128.777,184.38,103.579,4526.119,9.78,163.894,2.794,1.067,0.107,21.276,5.828,0.233,5.611,32.553,1817.436,197.68,1454.628,974.267,137.509,163.088,104.25,4531.976,12.598,159.416
34,0.0,2.876,11.635,25.612,0.004,20.694,6.628,25.535,1818.8,253.116,1435.92,965.582,117.106,204.354,103.209,4510.448,9.401,165.494,0.0,1.276,0.788,20.53,0.72,6.375,6.136,32.676,1818.597,210.465,1454.176,974.607,131.916,173.992,103.772,4530.568,13.472,158.904,3.108,1.051,0.079,15.874,5.999,0.107,5.408,32.898,1816.238,184.814,1464.596,981.022,138.732,152.375,104.49,4532.343,17.24,153.069
35,0.0,3.496,11.453,22.187,0.005,17.285,6.579,25.68,1816.442,241.668,1445.403,972.564,121.117,186.658,103.431,4516.296,12.249,161.665,0.0,1.268,0.78,17.195,0.981,5.081,6.108,32.478,1816.159,196.966,1461.952,981.176,133.784,160.789,103.981,4528.656,16.357,155.019,3.056,1.017,0.087,12.94,5.467,0.119,5.456,32.95,1814.371,173.772,1470.51,986.638,139.269,143.117,104.586,4528.329,19.774,149.727
36,0.0,3.491,12.94,18.632,0.004,18.083,6.555,25.613,1815.424,238.113,1451.14,977.918,120.457,179.803,103.52,4516.359,12.706,161.051,0.0,1.273,0.858,13.855,0.662,5.157,6.092,32.486,1814.703,191.336,1468.223,986.621,134.11,151.338,104.068,4528.68,18.001,152.878,3.283,1.012,0.079,9.407,5.48,0.089,5.4,32.789,1812.44,165.808,1477.581,992.629,139.849,131.382,104.722,4526.632,22.209,146.479
37,0.0,2.208,7.329,15.639,0.004,19.298,6.517,25.661,1812.171,216.501,1455.174,982.859,118.929,173.395,103.6,4497.18,11.946,162.06,0.0,1.083,0.572,10.51,0.737,5.018,6.033,32.829,1812.752,177.31,1473.088,992.349,134.251,141.177,104.163,4520.316,18.431,152.237,3.54,0.965,0.06,5.632,5.977,0.076,5.272,33.049,1810.462,152.616,1483.71,998.907,140.09,119.232,104.858,4519.253,23.63,144.434
38,0.0,1.414,3.206,15.813,0.004,17.683,6.407,25.79,1808.966,181.775,1456.812,987.325,120.241,158.632,103.592,4469.383,11.932,161.987,0.0,0.94,0.426,8.363,0.641,3.788,5.94,33.362,1810.129,154.53,1475.519,997.77,135.693,126.462,104.158,4503.36,19.831,150.177,4.143,0.946,0.045,2.662,6.282,0.049,5.13,33.436,1807.623,132.148,1487.727,1004.92,140.423,103.905,104.856,4501.619,25.519,141.627
39,0.0,1.787,4.909,15.408,0.004,16.777,6.284,25.959,1806.296,165.646,1457.993,992.114,121.118,142.854,103.473,4452.949,13.324,159.764,0.0,0.89,0.44,7.635,0.673,3.405,5.826,33.437,1807.341,133.298,1475.973,1002.557,136.296,110.746,104.022,4481.385,21.673,147.398,4.383,0.859,0.044,1.956,5.71,0.05,5.095,33.716,1804.912,112.634,1487.27,1009.482,140.689,89.213,104.618,4479.459,27.296,138.969
40,0.0,1.792,5.282,15.058,0.003,19.804,6.184,26.046,1804.998,165.587,1455.465,995.671,117.48,138.981,103.228,4438.758,11.727,161.677,0.0,0.901,0.545,7.087,0.399,4.393,5.763,33.628,1805.262,124.079,1473.526,1006.256,135.076,100.817,103.766,4463.541,21.698,147.126,4.851,0.806,0.039,1.165,5.583,0.047,5.013,33.822,1802.067,98.827,1485.616,1014.228,140.84,74.229,104.355,4459.946,28.956,136.371
41,0.0,1.428,3.61,15.389,0.003,21.364,6.081,26.117,1802.911,151.723,1451.192,998.89,115.74,130.631,102.886,4415.029,10.622,163.018,0.0,0.85,0.505,6.98,0.379,5.455,5.687,33.644,1803.316,115.176,1469.173,1009.633,133.503,91.784,103.413,4443.835,20.396,148.67,5.017,0.733,0.035,0.93,5.28,0.058,4.974,33.947,1799.698,89.592,1481.786,1018.392,140.645,61.91,103.945,4442.603,29.216,135.683
42,0.0,1.629,4.319,16.057,0.004,18.48,5.996,26.125,1799.274,140.438,1448.666,1003.862,119.061,109.78,102.557,4402.983,12.557,160.24,0.0,0.788,0.42,7.219,0.571,4.714,5.613,33.182,1800.244,106.182,1464.638,1013.959,134.231,77.159,103.073,4427.424,20.668,148.089,4.649,0.677,0.035,1.48,4.911,0.07,4.977,33.716,1797.679,85.619,1474.477,1021.229,140.159,53.57,103.592,4427.562,27.61,137.778
43,0.0,1.553,4.438,18.711,0.002,20.616,5.971,26.039,1798.223,145.682,1441.762,1006.444,116.48,105.569,102.249,4391.598,10.906,162.508,0.0,0.802,0.492,8.083,0.352,4.645,5.563,33.382,1798.309,103.758,1458.468,1016.974,134.303,66.921,102.776,4414.847,20.846,147.735,5.1,0.681,0.027,1.179,5.594,0.048,4.805,33.565,1794.798,79.415,1469.369,1024.939,140.328,39.937,103.389,4410.915,28.631,136.129
44,0.0,2.025,7.024,20.34,0.003,24.22,5.826,26.045,1799.085,158.699,1434.873,1008.724,112.728,103.77,101.96,4384.599,9.879,163.845,0.0,0.803,0.467,8.925,0.525,5.676,5.465,33.604,1796.992,104.339,1452.418,1019.694,132.95,59.245,102.497,4402.172,19.866,148.93,4.887,0.62,0.026,1.488,5.989,0.073,4.68,33.759,1792.78,76.924,1463.004,1027.509,140.258,29.991,103.128,4397.294,28.808,135.668
45,0.0,1.602,4.946,20.638,0.002,28.301,5.796,26.113,1798.937,163.542,1427.163,1010.204,108.207,105.876,101.708,4369.61,7.7,166.789,0.0,0.809,0.469,9.271,0.388,6.356,5.386,34.252,1796.483,107.089,1446.292,1021.887,131.898,53.875,102.262,4393.8,18.461,150.759,5.214,0.623,0.019,1.143,6.87,0.066,4.475,34.095,1791.125,75.719,1458.049,1029.947,140.197,20.884,102.993,4386.7,28.912,135.282
46,0.0,1.733,5.091,22.815,0.002,29.286,5.812,26.265,1797.362,159.998,1420.385,1011.333,107.312,99.973,101.468,4353.847,7.627,166.777,0.0,0.769,0.383,9.621,0.584,6.776,5.32,34.692,1795.16,105.236,1440.256,1023.351,131.262,47.897,102.028,4381.463,17.67,151.669,5.094,0.585,0.018,1.319,7.115,0.097,4.38,34.586,1789.838,74.775,1452.06,1030.528,139.993,15.837,102.743,4376.147,28.349,135.851
47,0.0,3.038,11.924,26.19,0.003,27.262,5.724,26.488,1798.005,174.694,1418.008,1014.097,109.88,88.0,101.389,4365.864,9.123,164.536,0.0,0.85,0.479,11.484,1.04,6.683,5.254,34.638,1793.945,110.779,1436.299,1025.006,131.435,41.815,101.951,4379.226,17.686,151.53,4.396,0.601,0.027,3.048,7.047,0.148,4.389,34.859,1789.625,81.833,1444.914,1030.432,139.425,16.364,102.671,4374.151,25.709,139.573
48,0.0,3.128,15.238,28.509,0.002,30.886,5.654,26.638,1800.854,196.435,1414.06,1015.302,106.447,93.794,101.412,4374.802,7.632,166.703,0.0,0.915,0.537,13.324,0.814,7.162,5.209,35.39,1794.985,122.815,1434.08,1026.377,130.894,41.316,101.995,4386.607,16.503,153.177,4.374,0.639,0.023,3.929,8.047,0.125,4.209,35.21,1789.607,88.77,1442.894,1031.653,139.385,13.883,102.878,4377.345,24.886,140.673
49,0.0,4.467,20.562,30.349,0.003,29.554,5.64,26.893,1802.347,215.181,1414.308,1017.336,108.551,87.625,101.626,4394.881,8.499,165.53,0.0,1.092,0.746,14.961,1.361,8.408,5.113,35.521,1796.114,137.232,1433.983,1027.624,129.78,42.729,102.216,4397.089,15.441,154.712,3.832,0.693,0.042,6.225,7.771,0.26,4.225,35.717,1791.247,102.632,1441.508,1032.406,139.021,17.427,102.996,4390.411,22.496,144.134
50,0.0,5.011,26.75,31.655,0.003,27.972,5.739,27.073,1803.799,230.775,1416.973,1019.768,110.776,84.775,101.857,4418.02,8.647,165.604,0.0,1.266,1.014,17.457,0.972,8.534,5.192,35.772,1797.975,155.541,1437.24,1029.454,129.986,44.541,102.434,4419.138,14.614,156.072,3.615,0.781,0.054,9.093,7.281,0.227,4.31,35.942,1793.401,120.518,1444.709,1034.491,139.141,19.998,103.21,4413.09,20.772,146.763
51,0.0,5.884,32.45,32.664,0.003,29.775,5.767,27.241,1807.199,250.648,1420.617,1021.789,109.411,90.227,102.087,4440.071,7.895,166.916,0.0,1.396,1.243,18.779,0.764,9.626,5.238,36.269,1800.129,168.57,1442.317,1031.526,129.187,48.539,102.676,4437.479,13.673,157.628,3.527,0.823,0.06,10.327,7.438,0.234,4.31,36.356,1795.112,130.904,1450.739,1037.078,139.477,21.228,103.51,4432.296,20.208,147.748
52,0.0,6.772,36.288,32.93,0.003,27.695,5.828,27.463,1810.268,270.056,1428.467,1024.927,111.478,88.981,102.4,4472.961,8.465,166.422,0.0,1.641,1.69,19.928,0.758,10.311,5.279,36.421,1803.078,186.628,1450.088,1034.102,128.706,53.176,102.982,4464.419,13.075,158.734,3.226,0.902,0.091,12.192,6.78,0.359,4.448,36.736,1798.216,148.108,1457.892,1039.638,139.484,26.906,103.733,4460.659,18.739,150.111
53,0.001,7.026,32.97,32.054,0.003,24.695,5.977,27.528,1810.99,279.662,1439.18,1028.559,114.918,87.095,102.681,4503.747,9.285,165.649,0.0,1.772,1.893,21.081,0.608,9.851,5.425,36.01,1805.724,205.231,1459.318,1037.002,129.413,57.341,103.243,4496.55,13.105,159.117,3.024,0.985,0.111,14.307,5.866,0.357,4.682,36.57,1801.706,169.382,1467.371,1042.552,139.557,33.321,103.929,4495.326,17.826,151.852
54,0.0,6.989,32.789,33.152,0.003,23.493,6.08,27.358,1812.358,289.19,1449.8,1031.933,116.533,89.015,102.911,4531.219,9.711,165.504,0.0,1.828,2.027,22.137,0.524,9.586,5.563,35.486,1807.609,218.389,1469.337,1040.138,130.152,61.024,103.468,4524.672,13.343,159.233,2.935,1.034,0.119,15.544,5.518,0.322,4.857,36.079,1803.984,184.011,1477.904,1045.812,140.0,37.456,104.141,4524.825,17.844,152.288
55,0.0,4.327,25.918,30.399,0.003,25.46,6.209,27.192,1811.494,285.676,1458.637,1034.821,114.721,96.969,103.109,4538.082,8.925,166.926,0.0,1.541,1.41,21.927,0.529,9.553,5.652,35.419,1808.615,221.599,1478.87,1043.563,130.449,64.037,103.681,4542.71,13.271,159.701,3.047,1.008,0.079,15.394,6.093,0.208,4.857,35.865,1805.125,187.231,1489.345,1049.885,140.542,38.006,104.44,4544.308,18.57,151.609
56,0.0,4.664,21.117,30.284,0.003,24.922,6.272,27.158,1811.385,288.636,1468.126,1038.604,115.257,96.382,103.37,4553.686,9.132,166.763,0.0,1.451,1.096,20.354,0.756,8.489,5.702,35.452,1808.367,219.158,1488.282,1047.845,131.856,61.594,103.949,4556.187,13.836,159.127,3.049,0.989,0.07,13.95,6.32,0.203,4.896,35.895,1805.176,185.036,1498.493,1053.819,140.894,37.259,104.687,4555.359,18.934,151.357
