t_saat,KOI_giris,NH4_giris,PO4_giris,DO,KOI_cikis,NH4_cikis,PO4_cikis,SO2,SF,SA,SNH4,SNO3,SPO4,SALK,SN2,XI,XS,XH,XPAO,XPP,XPHA,XAUT,XTSS,XMeOH,XMeP
21,318.373,36.032,5.187,5.756,103.224,0.679,0.916,5.756,0.562,0.014,0.679,8.034,0.916,3.988,37.136,1910.882,110.844,1675.333,1002.799,159.534,2.515,107.86,4730.052,25.156,134.169
22,266.251,40.613,7.062,5.031,98.937,1.47,1.124,5.031,0.534,0.017,1.47,7.863,1.124,3.998,37.528,1910.115,107.992,1664.998,998.856,158.659,5.122,107.472,4713.483,22.951,137.1
23,289.834,55.467,7.442,5.194,102.029,1.443,0.656,5.194,0.525,0.013,1.443,8.68,0.656,3.881,37.801,1908.942,104.667,1655.924,996.707,159.003,3.902,107.372,4700.095,22.733,137.243
24,442.704,55.751,7.978,5.643,119.813,0.978,0.885,5.643,0.501,0.011,0.978,9.967,0.885,3.653,38.358,1906.701,96.03,1648.588,992.068,159.084,2.635,107.205,4679.424,24.272,134.746
25,465.09,66.245,8.745,0.23,119.912,5.207,1.71,0.23,0.483,0.041,5.207,5.461,1.71,4.155,40.772,1906.388,102.166,1633.693,988.115,157.699,6.71,106.306,4664.752,21.822,138.069
26,553.543,49.957,8.545,0.161,125.935,12.396,4.028,0.161,0.641,0.17,12.396,1.074,4.028,4.833,41.66,1908.123,121.425,1616.051,986.038,154.051,18.212,105.385,4659.484,15.859,146.598
27,561.039,55.436,6.45,0.112,129.231,20.938,14.411,0.112,1.013,0.695,20.938,0.132,14.411,5.341,38.749,1911.815,157.282,1594.43,980.456,141.439,50.596,104.382,4646.069,7.42,158.8
28,555.442,52.606,8.629,0.102,134.616,27.911,24.854,0.102,1.162,0.825,27.911,0.103,24.854,5.659,35.97,1915.414,193.158,1575.801,974.916,128.384,84.364,103.371,4632.71,3.846,164.145
29,614.764,52.791,7.548,0.097,132.658,32.746,33.682,0.097,1.263,0.923,32.746,0.092,33.682,5.851,34.233,1918.242,219.407,1558.692,970.049,116.506,115.632,102.409,4614.723,2.797,165.801
30,548.069,44.322,7.173,0.08,131.744,37.822,45.445,0.08,1.552,1.722,37.822,0.055,45.445,6.005,31.856,1923.527,260.993,1540.826,963.137,99.055,159.205,101.36,4596.894,2.134,167.109
31,544.695,40.693,7.921,2.649,119.133,32.611,29.106,2.649,1.138,0.242,32.611,4.42,29.106,5.725,30.896,1928.471,282.034,1552.27,972.815,106.777,155.063,101.745,4658.156,2.814,166.572
32,451.748,44.257,8.539,2.665,109.489,28.317,15.66,2.665,1.096,0.179,28.317,5.177,15.66,5.621,31.773,1932.128,295.784,1563.301,981.325,114.886,148.304,101.906,4710.642,4.312,164.811
33,458.59,39.129,7.353,2.703,115.981,24.943,4.434,2.703,1.061,0.137,24.943,5.556,4.434,5.552,32.617,1934.265,300.875,1573.502,990.304,124.184,137.785,102.07,4755.984,7.407,160.676
34,484.334,34.137,5.204,2.835,109.27,21.676,0.458,2.835,1.084,0.137,21.676,5.691,0.458,5.407,33.393,1936.087,302.568,1583.368,999.073,128.838,128.188,102.212,4782.715,12.494,153.677
35,292.996,32.659,5.449,2.775,97.257,19.099,0.439,2.775,1.1,0.142,19.099,4.928,0.439,5.374,33.746,1938.181,310.015,1592.157,1006.476,129.598,123.696,102.229,4803.173,15.105,150.193
36,244.046,22.858,5.328,3.009,96.077,15.929,0.19,3.009,1.063,0.092,15.929,5.103,0.19,5.21,33.572,1936.96,300.619,1600.276,1014.66,130.645,111.862,102.295,4805.018,17.758,146.514
37,247.519,22.287,3.885,3.194,94.541,11.782,0.137,3.194,1.032,0.072,11.782,5.667,0.137,4.991,33.734,1934.374,280.437,1607.041,1023.1,131.31,95.976,102.376,4793.153,20.112,143.158
38,299.875,25.905,5.63,3.354,98.011,8.15,0.124,3.354,1.001,0.065,8.15,5.995,0.124,4.786,34.097,1931.829,260.307,1612.737,1031.22,131.629,79.956,102.421,4779.126,21.838,140.669
39,223.296,24.18,5.018,3.37,94.711,6.186,0.149,3.37,0.961,0.062,6.186,5.598,0.149,4.742,34.318,1929.882,246.952,1616.169,1038.291,131.673,67.572,102.365,4769.519,22.037,140.381
40,171.173,20.592,5.236,3.786,87.581,3.923,0.093,3.786,0.947,0.045,3.923,5.989,0.093,4.632,34.417,1926.831,226.76,1620.266,1045.743,132.059,50.641,102.347,4752.689,23.494,138.214
41,241.563,41.736,4.646,4.044,94.945,2.446,0.108,4.044,0.887,0.04,2.446,6.039,0.108,4.541,34.743,1923.875,204.426,1621.908,1051.539,132.293,35.332,102.188,4731.058,24.663,136.399
42,219.38,35.881,4.321,4.207,93.322,2.521,0.116,4.207,0.83,0.033,2.521,6.259,0.116,4.4,34.981,1921.02,185.875,1622.153,1055.869,132.389,22.698,102.043,4711.094,25.407,135.162
43,244.465,31.185,5.639,4.425,98.066,2.378,0.145,4.425,0.765,0.026,2.378,6.962,0.145,4.198,35.333,1918.171,168.259,1621.345,1057.975,132.407,13.173,101.96,4690.584,26.02,134.079
44,206.946,28.639,6.36,4.968,96.434,1.458,0.196,4.968,0.705,0.018,1.458,7.95,0.196,3.964,35.861,1915.201,149.756,1620.355,1057.107,132.61,6.598,101.869,4668.538,27.241,132.085
45,217.162,27.902,4.781,4.945,93.258,1.539,0.331,4.945,0.65,0.018,1.539,7.792,0.331,3.932,36.448,1912.899,136.526,1615.404,1053.664,132.41,6.11,101.591,4648.047,26.719,132.617
46,380.254,37.199,6.959,4.761,107.073,2.02,0.398,4.761,0.628,0.021,2.02,7.224,0.398,4.005,36.691,1910.915,130.37,1608.116,1051.008,132.055,6.333,101.37,4632.225,25.193,134.704
47,371.883,47.977,6.875,4.904,109.477,1.962,0.414,4.904,0.615,0.019,1.962,7.667,0.414,3.929,36.88,1909.068,126.603,1603.328,1048.56,132.063,5.239,101.3,4620.703,24.918,134.998
48,479.815,43.876,9.333,5.021,118.062,1.841,0.503,5.021,0.597,0.017,1.841,8.561,0.503,3.779,37.344,1907.4,121.367,1599.053,1045.493,132.064,4.777,101.246,4608.299,24.936,134.804
49,585.983,56.193,8.238,4.942,126.404,2.045,0.575,4.942,0.591,0.018,2.045,9.148,0.575,3.69,37.973,1906.507,119.584,1593.889,1042.96,131.965,5.423,101.173,4599.403,24.201,135.686
50,554.575,53.946,6.996,4.313,126.99,4.06,0.791,4.313,0.629,0.033,4.06,8.576,0.791,3.83,38.567,1907.752,129.89,1587.765,1042.596,131.288,9.539,101.099,4603.558,21.245,139.866
51,468.971,53.474,8.515,4.009,113.172,6.608,0.613,4.009,0.678,0.039,6.608,8.039,0.613,3.964,38.86,1909.589,144.673,1585.239,1044.442,131.199,12.048,101.17,4617.518,19.192,142.868
52,556.66,52.386,8.352,3.797,120.47,9.128,0.67,3.797,0.724,0.052,9.128,7.555,0.67,4.087,38.937,1910.972,157.781,1584.561,1046.415,131.264,13.754,101.269,4631.343,18.218,144.441
53,511.251,52.982,8.451,3.576,122.586,11.812,0.809,3.576,0.786,0.073,11.812,6.803,0.809,4.218,38.838,1913.022,175.268,1586.376,1048.729,131.364,16.544,101.365,4652.318,17.282,146.036
54,546.33,42.186,7.932,3.54,113.342,13.293,0.624,3.54,0.815,0.072,13.293,6.783,0.624,4.264,38.645,1914.646,188.463,1590.215,1051.725,131.982,17.221,101.53,4672.252,17.24,146.337
55,554.544,43.259,7.787,3.242,119.708,14.558,1.162,3.242,0.902,0.117,14.558,5.861,1.162,4.545,38.314,1917.345,210.063,1594.161,1054.329,131.645,22.18,101.582,4699.02,16.113,148.323
56,459.773,47.482,5.857,3.113,116.924,15.813,0.942,3.113,0.957,0.124,15.813,5.192,0.942,4.877,37.443,1920.268,236.844,1600.736,1057.7,132.146,26.008,101.644,4734.652,15.656,149.368
57,467.813,37.769,6.556,3.096,106.328,16.703,0.633,3.096,0.972,0.109,16.703,5.208,0.633,5.015,36.616,1921.661,253.352,1607.413,1061.488,132.823,26.497,101.736,4759.933,16.424,148.63
58,403.212,32.597,6.913,3.068,109.628,16.1,0.575,3.068,0.985,0.1,16.1,5.157,0.575,5.082,35.962,1922.558,268.015,1614.225,1065.171,133.342,26.273,101.812,4782.467,17.053,147.966
59,377.784,27.9,5.768,3.059,105.388,14.529,0.528,3.059,0.998,0.097,14.529,4.975,0.528,5.162,35.285,1922.46,277.833,1620.731,1068.553,133.919,25.16,101.858,4799.68,17.587,147.375
60,354.249,33.808,4.883,3.16,96.165,12.357,0.406,3.16,0.989,0.082,12.357,5.191,0.406,5.15,34.786,1921.404,279.997,1627.922,1071.872,134.468,22.449,101.937,4809.78,18.523,146.189
61,269.709,29.187,4.72,3.338,93.916,10.49,0.31,3.338,0.95,0.054,10.49,5.897,0.31,5.013,34.725,1919.495,272.031,1635.006,1074.951,134.85,18.066,102.07,4809.606,19.606,144.609
62,301.474,20.891,4.338,3.377,99.048,8.943,0.369,3.377,0.925,0.051,8.943,5.903,0.369,4.973,34.751,1916.882,261.221,1639.444,1076.562,134.9,15.282,102.12,4803.192,20.04,143.989
63,288.776,31.649,4.99,3.663,101.635,6.388,0.303,3.663,0.896,0.039,6.388,6.349,0.303,4.841,34.799,1913.953,247.986,1644.93,1077.476,135.22,11.027,102.222,4794.656,21.287,142.133
64,164.64,23.884,6.021,3.968,87.833,4.308,0.34,3.968,0.844,0.026,4.308,7.273,0.34,4.6,35.232,1911.081,227.972,1649.846,1076.691,135.46,7.694,102.339,4779.293,22.49,140.258
65,203.01,28.655,4.764,4.511,92.364,2.224,0.391,4.511,0.79,0.019,2.224,8.246,0.391,4.343,35.892,1908.086,201.154,1653.81,1073.818,135.844,4.678,102.395,4756.369,24.121,137.717
66,221.621,27.177,5.329,4.687,92.08,1.688,0.553,4.687,0.741,0.02,1.688,7.896,0.553,4.279,36.597,1905.594,178.925,1653.63,1069.638,135.777,4.875,102.188,4733.191,24.352,137.164
67,144.499,30.581,4.813,5.136,86.338,1.117,0.508,5.136,0.701,0.017,1.117,7.869,0.508,4.175,37.098,1902.805,158.373,1652.589,1065.637,135.979,3.772,101.978,4710.303,25.04,135.936
68,229.591,31.336,6.045,5.285,92.241,1.025,0.637,5.285,0.651,0.017,1.025,7.768,0.637,4.102,37.562,1900.19,139.649,1649.07,1060.604,135.911,3.802,101.646,4685.573,25.396,135.153
69,381.931,33.491,6.673,5.083,104.525,1.363,0.661,5.083,0.613,0.018,1.363,7.503,0.661,4.08,37.857,1898.153,128.788,1641.861,1056.537,135.674,4.714,101.36,4665.373,24.434,136.311
70,388.543,38.114,6.019,5.076,110.024,1.44,0.601,5.076,0.6,0.019,1.44,7.653,0.601,4.031,38.058,1896.326,123.844,1635.108,1053.505,135.626,5.034,101.176,4651.328,23.754,137.061
71,405.202,43.025,6.534,4.726,117.443,2.129,0.668,4.726,0.601,0.022,2.129,7.541,0.668,4.063,38.226,1895.195,124.981,1627.883,1051.375,135.272,6.836,101.006,4643.068,22.293,138.992
72,454.646,45.061,7.226,4.584,116.72,2.795,0.538,4.584,0.61,0.023,2.795,7.847,0.538,4.044,38.323,1894.182,127.991,1622.168,1050.501,135.3,7.153,100.984,4639.014,21.523,139.987
73,531.457,53.239,7.472,0.181,129.337,7.648,1.508,0.181,0.647,0.108,7.648,2.065,1.508,4.712,40.934,1893.37,139.79,1611.013,1047.833,134.167,11.937,100.04,4633.529,20.205,141.765
74,449.783,46.997,7.921,0.13,118.019,13.159,6.418,0.13,0.903,0.408,13.159,0.19,6.418,5.126,40.323,1893.391,157.301,1593.098,1043.628,127.767,31.003,99.183,4619.308,13.736,150.879
75,610.582,54.123,8.231,0.114,133.727,18.999,14.364,0.114,1.035,0.569,18.999,0.127,14.364,5.429,38.148,1893.688,178.194,1572.823,1038.356,117.907,58.349,98.305,4598.797,6.758,160.786
76,513.514,47.527,8.48,0.1,126.854,25.429,25.644,0.1,1.225,0.876,25.429,0.089,25.644,5.65,35.752,1895.485,208.852,1553.623,1032.374,104.748,93.347,97.383,4579.427,3.749,165.197
77,522.643,65.161,9.284,0.093,118.296,31.405,36.084,0.093,1.362,1.049,31.405,0.075,36.084,5.867,33.394,1897.094,241.963,1535.948,1026.041,90.82,130.195,96.425,4560.718,2.643,167.028
78,476.128,49.607,8.303,0.089,118.079,37.599,44.247,0.089,1.478,1.207,37.599,0.066,44.247,6.046,31.45,1898.242,273.809,1519.238,1019.684,77.402,165.781,95.466,4542.177,2.166,167.959
79,524.286,47.447,7.451,2.695,114.1,34.219,27.008,2.695,1.132,0.224,34.219,4.268,27.008,5.834,30.688,1899.464,283.819,1528.577,1030.066,87.456,158.063,95.875,4596.464,2.966,167.193
80,431.62,50.229,6.766,2.686,109.927,31.567,13.009,2.686,1.123,0.191,31.567,4.687,13.009,5.842,31.381,1900.827,300.096,1539.105,1038.567,96.461,150.854,96.005,4651.218,4.774,165.045
81,433.48,39.259,7.188,2.731,111.966,29.173,2.121,2.731,1.092,0.15,29.173,4.951,2.121,5.819,32.007,1900.885,306.612,1548.993,1047.49,106.019,140.529,96.149,4696.399,8.651,159.819
82,348.333,33.116,6.141,2.97,102.635,25.532,0.28,2.97,1.082,0.112,25.532,5.391,0.28,5.615,32.591,1900.173,305.329,1558.546,1056.607,109.068,128.946,96.31,4712.517,13.857,152.511
83,411.834,33.864,5.444,2.942,108.666,22.02,0.275,2.942,1.09,0.12,22.02,5.085,0.275,5.492,33.052,1898.933,303.109,1565.978,1064.747,110.083,119.268,96.375,4720.378,16.426,148.981
84,377.593,33.799,4.095,2.986,100.066,19.067,0.233,2.986,1.1,0.121,19.067,4.849,0.233,5.37,33.171,1897.987,305.93,1574.268,1072.756,110.756,109.801,96.437,4732.348,18.057,146.828
85,232.086,30.255,5.206,3.098,92.541,16.384,0.175,3.098,1.07,0.088,16.384,5.085,0.175,5.219,33.271,1896.346,301.197,1582.183,1080.962,111.124,98.415,96.521,4735.961,19.307,145.162
86,170.727,29.24,5.076,3.308,88.576,13.514,0.115,3.308,1.041,0.062,13.514,5.577,0.115,5.042,33.485,1893.395,281.123,1588.75,1089.303,111.648,82.301,96.613,4723.372,20.893,142.854
87,152.534,22.971,4.899,3.562,88.199,10.494,0.084,3.562,1.01,0.048,10.494,6.203,0.084,4.773,33.913,1890.225,252.761,1594.148,1097.237,112.24,63.203,96.704,4701.14,22.929,139.816
88,250.104,28.252,4.705,3.753,95.583,7.615,0.081,3.753,0.956,0.041,7.615,6.546,0.081,4.554,34.457,1887.288,225.806,1597.482,1103.88,112.72,44.951,96.742,4677.296,24.706,137.11
89,141.083,21.322,3.795,3.946,86.792,5.445,0.088,3.946,0.895,0.033,5.445,6.669,0.088,4.423,34.947,1884.457,205.071,1599.186,1109.098,112.982,29.701,96.743,4656.787,25.744,135.416
90,175.306,30.351,5.142,4.332,89.027,3.374,0.092,4.332,0.834,0.025,3.374,6.995,0.092,4.259,35.387,1881.578,182.483,1599.966,1112.164,113.258,16.253,96.722,4633.093,27.063,133.341
91,239.648,33.156,5.131,4.732,96.828,2.134,0.147,4.732,0.749,0.021,2.134,7.352,0.147,4.098,35.861,1878.81,161.425,1599.18,1111.44,113.537,8.174,96.637,4609.028,28.288,131.402
92,352.851,43.773,5.804,5.056,106.126,1.607,0.246,5.056,0.686,0.018,1.607,7.755,0.246,3.968,36.356,1876.154,144.605,1596.972,1107.781,113.661,5.204,96.507,4587.059,28.886,130.311
93,316.781,33.268,5.594,4.939,101.228,1.963,0.343,4.939,0.648,0.018,1.963,7.878,0.343,3.917,36.858,1874.205,135.346,1592.327,1103.827,113.384,5.587,96.357,4570.273,27.79,131.656
94,341.743,49.954,6.681,4.901,104.282,2.255,0.35,4.901,0.63,0.017,2.255,8.095,0.35,3.859,37.294,1872.455,130.088,1587.118,1100.921,113.138,5.559,96.288,4557.153,26.437,133.412
95,435.546,48.887,8.312,5.023,115.262,2.23,0.379,5.023,0.608,0.015,2.23,8.842,0.379,3.714,37.797,1870.495,123.49,1582.777,1097.731,113.168,4.712,96.29,4543.368,26.18,133.581
96,353.411,47.85,7.202,4.622,103.979,3.6,0.504,4.622,0.606,0.019,3.6,8.642,0.504,3.728,38.313,1869.715,124.344,1576.199,1095.22,112.796,6.891,96.233,4535.973,24.151,136.368
97,422.597,51.497,7.998,4.384,110.406,5.645,0.447,4.384,0.627,0.024,5.645,8.19,0.447,3.822,38.448,1869.111,129.846,1570.413,1094.465,112.746,7.839,96.266,4534.924,22.267,139.073
98,560.503,60.93,8.373,4.167,131.767,8.04,0.54,4.167,0.663,0.036,8.04,7.766,0.54,3.943,38.458,1868.939,138.637,1566.909,1093.907,112.795,9.007,96.357,4539.197,21.042,140.923
99,588.67,50.545,8.57,4.0,128.981,10.607,0.576,4.0,0.71,0.046,10.607,7.559,0.576,4.024,38.558,1870.117,152.534,1566.567,1094.273,112.988,10.48,96.515,4552.632,20.023,142.504
100,570.994,56.438,7.467,3.789,133.756,12.598,0.676,3.789,0.762,0.058,12.598,7.232,0.676,4.12,38.685,1872.333,169.451,1567.935,1095.467,113.06,13.212,96.665,4571.893,18.733,144.495
101,562.348,63.419,7.823,3.689,119.698,14.524,0.584,3.689,0.803,0.062,14.524,7.068,0.584,4.208,38.719,1874.629,184.848,1570.952,1097.563,113.414,14.808,96.836,4592.342,18.104,145.553
102,513.97,44.79,7.782,3.367,116.314,18.017,0.975,3.367,0.882,0.1,18.017,6.029,0.975,4.483,38.484,1877.662,205.932,1574.338,1099.688,113.184,19.96,96.91,4618.588,16.654,147.895
103,494.53,43.908,5.929,3.444,113.768,18.353,0.473,3.444,0.891,0.078,18.353,6.136,0.473,4.592,37.999,1879.561,219.475,1580.582,1103.186,114.215,19.977,97.096,4642.402,17.037,147.583
104,567.634,38.954,7.678,3.278,121.396,18.014,0.718,3.278,0.931,0.099,18.014,5.9,0.718,4.686,37.739,1881.573,231.696,1585.507,1106.059,114.277,22.174,97.213,4661.867,16.858,148.018
105,385.578,42.765,7.504,3.182,108.157,17.668,0.68,3.182,0.965,0.102,17.668,5.304,0.68,4.841,37.15,1884.319,251.004,1592.061,1109.315,114.766,24.892,97.295,4690.779,16.496,148.756
106,461.315,27.311,6.14,3.101,102.041,17.434,0.659,3.101,1.002,0.118,17.434,4.846,0.659,5.02,36.267,1885.408,262.653,1597.964,1112.455,115.441,25.842,97.347,4711.283,16.634,148.755
107,348.86,42.531,5.951,3.141,98.215,15.574,0.495,3.141,0.997,0.098,15.574,4.851,0.495,5.121,35.46,1886.326,273.327,1605.342,1115.84,116.166,25.866,97.43,4731.868,17.214,148.071
108,227.938,31.798,5.851,3.332,88.319,14.569,0.283,3.332,0.951,0.052,14.569,5.507,0.283,5.123,35.034,1885.279,268.56,1611.621,1119.382,117.011,20.83,97.567,4735.523,18.549,146.195
109,300.939,33.631,5.602,3.562,94.583,12.615,0.248,3.562,0.912,0.039,12.615,6.328,0.248,5.014,35.049,1882.776,251.656,1616.911,1121.397,117.773,13.704,97.735,4724.942,20.399,143.517
110,199.565,24.077,5.543,3.694,93.448,10.681,0.31,3.694,0.866,0.031,10.681,6.815,0.31,4.911,35.311,1880.576,235.489,1620.991,1121.198,118.228,10.018,97.889,4713.418,21.486,141.893
111,241.363,22.916,3.491,3.858,90.959,8.443,0.345,3.858,0.827,0.027,8.443,6.955,0.345,4.85,35.467,1878.048,218.115,1623.382,1119.335,118.618,7.437,98.006,4698.236,22.323,140.61
112,228.492,17.541,3.689,4.084,96.153,5.899,0.384,4.084,0.79,0.023,5.899,7.218,0.384,4.747,35.614,1875.315,201.978,1625.395,1116.071,118.887,5.644,98.124,4682.169,23.48,138.865
113,331.552,26.22,3.802,4.4,95.978,3.327,0.446,4.4,0.756,0.022,3.327,7.587,0.446,4.61,35.942,1872.7,185.597,1626.979,1111.92,119.042,4.644,98.203,4664.862,24.573,137.147
114,191.395,26.559,5.064,4.823,87.831,1.728,0.463,4.823,0.727,0.018,1.728,7.768,0.463,4.477,36.46,1870.581,170.154,1627.971,1107.651,119.13,4.289,98.149,4648.131,25.283,135.893
115,141.77,31.353,5.727,5.06,87.242,1.311,0.485,5.06,0.692,0.017,1.311,7.452,0.485,4.414,36.94,1868.459,154.18,1626.3,1103.142,119.155,4.239,97.913,4628.422,25.482,135.365
116,298.042,24.093,6.123,4.941,98.458,1.635,0.529,4.941,0.653,0.019,1.635,6.976,0.529,4.388,37.136,1866.513,141.153,1621.036,1098.654,119.08,4.636,97.673,4608.2,24.923,136.01
117,348.44,33.37,6.333,5.487,107.384,0.96,0.507,5.487,0.628,0.016,0.96,7.491,0.507,4.234,37.316,1864.183,128.332,1617.279,1093.796,119.449,3.269,97.509,4588.581,25.895,134.394
118,344.25,41.992,6.898,5.296,114.688,1.178,0.659,5.296,0.598,0.018,1.178,7.394,0.659,4.194,37.642,1862.673,120.538,1610.98,1088.751,119.252,4.694,97.173,4571.232,25.3,134.987
119,362.043,44.669,6.604,4.683,108.303,2.504,0.612,4.683,0.599,0.023,2.504,7.021,0.612,4.238,37.689,1862.531,122.784,1601.87,1086.511,118.864,7.156,97.004,4563.602,22.739,138.56
120,468.77,47.212,7.635,4.561,122.841,3.647,0.466,4.561,0.609,0.023,3.647,7.467,0.466,4.176,37.612,1862.223,125.697,1595.786,1085.228,119.054,6.904,97.049,4559.641,21.994,139.604
121,516.741,51.854,7.862,0.188,130.732,8.62,1.286,0.188,0.643,0.103,8.62,2.006,1.286,4.794,40.084,1862.232,136.96,1585.028,1081.955,118.284,10.969,96.162,4554.882,21.032,140.912
122,489.077,45.952,8.847,0.13,130.448,14.612,6.47,0.13,0.923,0.431,14.612,0.177,6.47,5.226,39.201,1863.765,157.473,1566.808,1077.048,111.65,31.126,95.325,4543.367,14.007,150.871
123,575.739,56.267,8.125,0.114,128.703,20.44,13.87,0.114,1.05,0.571,20.44,0.121,13.87,5.521,37.013,1865.53,179.9,1547.347,1071.584,102.425,57.876,94.471,4527.486,6.912,160.977
124,545.644,50.828,6.379,0.103,120.698,26.38,23.513,0.103,1.202,0.795,26.38,0.092,23.513,5.75,35.044,1868.318,205.608,1528.914,1065.895,91.137,89.41,93.608,4510.104,4.049,165.199
125,538.051,60.085,7.335,0.089,130.446,32.976,34.988,0.089,1.428,1.247,32.976,0.064,34.988,5.982,32.572,1872.629,243.059,1510.805,1058.761,76.043,129.489,92.67,4493.963,2.764,167.389
126,467.292,51.351,7.98,0.081,116.016,39.748,44.354,0.081,1.624,1.68,39.748,0.05,44.354,6.178,30.041,1877.28,286.508,1494.063,1050.691,59.85,171.867,91.669,4480.53,2.206,168.66
127,473.079,53.32,5.835,2.81,115.56,35.705,23.306,2.81,1.093,0.17,35.705,4.501,23.306,5.957,29.496,1879.826,290.438,1505.823,1062.394,73.653,157.335,92.116,4542.496,3.254,167.444
128,510.943,43.831,5.482,2.733,121.512,33.331,8.856,2.733,1.116,0.18,33.331,4.816,8.856,5.957,30.634,1882.781,297.699,1514.534,1071.128,84.164,147.199,92.249,4593.042,5.701,164.293
