t_saat,KOI_giris,NH4_giris,PO4_giris,DO,KOI_cikis,NH4_cikis,PO4_cikis,SO2,SF,SA,SNH4,SNO3,SPO4,SALK,SN2,XI,XS,XH,XPAO,XPP,XPHA,XAUT,XTSS,XMeOH,XMeP
24,536.202,49.177,7.89,4.398,128.478,3.005,0.266,4.398,0.534,0.024,3.005,8.463,0.266,4.271,35.652,1796.43,75.769,1505.289,981.536,162.932,10.563,108.473,4466.37,23.874,141.838
25,546.866,47.444,7.577,0.161,131.62,9.014,0.828,0.161,0.62,0.111,9.014,2.076,0.828,5.022,38.486,1798.462,94.887,1496.175,979.895,162.149,17.645,107.511,4474.049,21.904,144.581
26,486.565,51.086,9.379,0.118,116.56,15.384,6.926,0.118,0.956,0.468,15.384,0.202,6.926,5.487,37.638,1801.477,118.806,1480.343,975.111,154.272,43.962,106.639,4468.416,13.955,155.826
27,529.251,54.776,8.247,0.105,130.146,21.986,15.896,0.105,1.131,0.633,21.986,0.143,15.896,5.762,35.489,1804.376,143.084,1463.44,969.29,143.053,77.463,105.738,4454.531,6.288,166.77
28,492.928,49.489,7.187,0.097,109.59,28.125,25.59,0.097,1.294,0.816,28.125,0.115,25.59,5.934,33.674,1807.476,166.75,1447.902,963.471,131.088,112.561,104.83,4438.08,3.738,170.569
29,461.41,47.168,7.23,0.093,105.59,32.949,34.237,0.093,1.421,0.934,32.949,0.102,34.237,6.061,32.075,1810.246,189.603,1433.365,957.507,118.726,148.505,103.909,4420.172,2.784,172.192
30,520.558,39.666,7.2,0.088,124.454,36.457,42.296,0.088,1.572,1.169,36.457,0.087,42.296,6.183,30.603,1812.889,211.055,1419.26,951.197,105.258,186.675,102.974,4398.758,2.281,173.179
31,378.821,48.035,6.235,2.549,102.223,29.938,22.235,2.549,1.081,0.135,29.938,5.503,22.235,5.794,30.301,1815.709,208.704,1432.751,959.936,118.667,180.908,103.678,4459.299,3.321,171.991
32,351.496,32.05,5.954,2.579,99.687,25.805,4.461,2.579,1.029,0.102,25.805,6.41,4.461,5.712,31.682,1816.953,202.862,1444.612,967.683,132.875,170.2,104.039,4512.015,6.643,167.55
33,295.903,23.335,4.866,2.794,98.158,21.276,0.233,2.794,1.067,0.107,21.276,5.828,0.233,5.611,32.553,1817.436,197.68,1454.628,974.267,137.509,163.088,104.25,4531.976,12.598,159.416
34,231.685,31.039,3.874,3.108,87.837,15.874,0.107,3.108,1.051,0.079,15.874,5.999,0.107,5.408,32.898,1816.238,184.814,1464.596,981.022,138.732,152.375,104.49,4532.343,17.24,153.069
35,269.674,23.341,4.706,3.056,93.104,12.94,0.119,3.056,1.017,0.087,12.94,5.467,0.119,5.456,32.95,1814.371,173.772,1470.51,986.638,139.269,143.117,104.586,4528.329,19.774,149.727
36,283.17,19.981,4.471,3.283,88.864,9.407,0.089,3.283,1.012,0.079,9.407,5.48,0.089,5.4,32.789,1812.44,165.808,1477.581,992.629,139.849,131.382,104.722,4526.632,22.209,146.479
37,189.387,17.304,4.579,3.54,84.548,5.632,0.076,3.54,0.965,0.06,5.632,5.977,0.076,5.272,33.049,1810.462,152.616,1483.71,998.907,140.09,119.232,104.858,4519.253,23.63,144.434
38,107.181,27.766,3.825,4.143,82.609,2.662,0.049,4.143,0.946,0.045,2.662,6.282,0.049,5.13,33.436,1807.623,132.148,1487.727,1004.92,140.423,103.905,104.856,4501.619,25.519,141.627
39,216.157,21.4,3.416,4.383,89.058,1.956,0.05,4.383,0.859,0.044,1.956,5.71,0.05,5.095,33.716,1804.912,112.634,1487.27,1009.482,140.689,89.213,104.618,4479.459,27.296,138.969
40,263.562,23.861,3.876,4.851,87.937,1.165,0.047,4.851,0.806,0.039,1.165,5.583,0.047,5.013,33.822,1802.067,98.827,1485.616,1014.228,140.84,74.229,104.355,4459.946,28.956,136.371
41,166.78,24.603,5.523,5.017,82.303,0.93,0.058,5.017,0.733,0.035,0.93,5.28,0.058,4.974,33.947,1799.698,89.592,1481.786,1018.392,140.645,61.91,103.945,4442.603,29.216,135.683
42,202.807,28.354,4.779,4.649,83.657,1.48,0.07,4.649,0.677,0.035,1.48,4.911,0.07,4.977,33.716,1797.679,85.619,1474.477,1021.229,140.159,53.57,103.592,4427.562,27.61,137.778
43,287.767,37.287,5.374,5.1,93.844,1.179,0.048,5.1,0.681,0.027,1.179,5.594,0.048,4.805,33.565,1794.798,79.415,1469.369,1024.939,140.328,39.937,103.389,4410.915,28.631,136.129
44,384.178,33.859,5.928,4.887,99.934,1.488,0.073,4.887,0.62,0.026,1.488,5.989,0.073,4.68,33.759,1792.78,76.924,1463.004,1027.509,140.258,29.991,103.128,4397.294,28.808,135.668
45,324.528,32.447,6.186,5.214,99.835,1.143,0.066,5.214,0.623,0.019,1.143,6.87,0.066,4.475,34.095,1791.125,75.719,1458.049,1029.947,140.197,20.884,102.993,4386.7,28.912,135.282
46,330.003,46.825,6.556,5.094,103.675,1.319,0.097,5.094,0.585,0.018,1.319,7.115,0.097,4.38,34.586,1789.838,74.775,1452.06,1030.528,139.993,15.837,102.743,4376.147,28.349,135.851
47,468.44,48.397,6.789,4.396,120.611,3.048,0.148,4.396,0.601,0.027,3.048,7.047,0.148,4.389,34.859,1789.625,81.833,1444.914,1030.432,139.425,16.364,102.671,4374.151,25.709,139.573
48,512.898,49.131,8.546,4.374,120.328,3.929,0.125,4.374,0.639,0.023,3.929,8.047,0.125,4.209,35.21,1789.607,88.77,1442.894,1031.653,139.385,13.883,102.878,4377.345,24.886,140.673
49,501.855,52.355,8.217,3.832,116.419,6.225,0.26,3.832,0.693,0.042,6.225,7.771,0.26,4.225,35.717,1791.247,102.632,1441.508,1032.406,139.021,17.427,102.996,4390.411,22.496,144.134
50,491.688,49.063,8.619,3.615,112.83,9.093,0.227,3.615,0.781,0.054,9.093,7.281,0.227,4.31,35.942,1793.401,120.518,1444.709,1034.491,139.141,19.998,103.21,4413.09,20.772,146.763
51,573.725,50.307,8.656,3.527,113.251,10.327,0.234,3.527,0.823,0.06,10.327,7.438,0.234,4.31,36.356,1795.112,130.904,1450.739,1037.078,139.477,21.228,103.51,4432.296,20.208,147.748
52,544.911,48.041,5.936,3.226,121.7,12.192,0.359,3.226,0.902,0.091,12.192,6.78,0.359,4.448,36.736,1798.216,148.108,1457.892,1039.638,139.484,26.906,103.733,4460.659,18.739,150.111
53,463.901,43.446,7.401,3.024,111.817,14.307,0.357,3.024,0.985,0.111,14.307,5.866,0.357,4.682,36.57,1801.706,169.382,1467.371,1042.552,139.557,33.321,103.929,4495.326,17.826,151.852
54,476.149,48.286,6.394,2.935,119.043,15.544,0.322,2.935,1.034,0.119,15.544,5.518,0.322,4.857,36.079,1803.984,184.011,1477.904,1045.812,140.0,37.456,104.141,4524.825,17.844,152.288
55,371.266,32.651,7.072,3.047,94.25,15.394,0.208,3.047,1.008,0.079,15.394,6.093,0.208,4.857,35.865,1805.125,187.231,1489.345,1049.885,140.542,38.006,104.44,4544.308,18.57,151.609
56,428.902,45.742,5.376,3.049,101.456,13.95,0.203,3.049,0.989,0.07,13.95,6.32,0.203,4.896,35.895,1805.176,185.036,1498.493,1053.819,140.894,37.259,104.687,4555.359,18.934,151.357
57,337.151,34.916,4.71,3.031,96.522,13.94,0.188,3.031,0.997,0.069,13.94,6.059,0.188,4.995,35.757,1805.371,188.183,1507.464,1057.433,141.113,36.624,104.891,4569.654,19.35,151.035
58,283.357,19.035,4.04,3.106,95.103,12.412,0.155,3.106,0.98,0.057,12.412,5.995,0.155,5.048,35.464,1804.185,183.792,1515.919,1060.86,141.277,34.299,105.093,4575.261,20.128,150.181
59,260.889,22.843,4.436,3.232,94.083,8.964,0.136,3.232,0.951,0.049,8.964,5.896,0.136,5.087,35.07,1801.782,174.37,1522.773,1063.772,141.407,30.493,105.249,4573.098,21.118,148.974
60,228.231,20.593,4.982,3.472,83.241,5.994,0.117,3.472,0.915,0.04,5.994,6.001,0.117,5.088,34.729,1798.749,161.786,1528.747,1066.187,141.677,24.897,105.381,4565.997,22.461,147.2
61,242.297,21.57,4.4,3.958,85.538,3.149,0.099,3.958,0.859,0.027,3.149,6.602,0.099,4.981,34.787,1795.662,143.48,1534.11,1068.002,142.058,17.822,105.501,4552.599,24.125,144.757
62,209.926,14.748,3.411,4.271,84.197,1.807,0.128,4.271,0.794,0.026,1.807,6.193,0.128,4.989,34.942,1793.031,129.028,1535.795,1067.979,142.102,14.367,105.378,4538.744,24.676,143.83
63,167.336,19.932,5.722,4.702,83.859,1.116,0.13,4.702,0.757,0.024,1.116,5.313,0.13,5.023,34.697,1790.347,116.817,1535.291,1066.757,142.136,11.498,105.075,4523.613,25.214,142.893
64,218.383,20.809,4.941,4.977,85.555,0.944,0.157,4.977,0.699,0.024,0.944,4.919,0.157,5.008,34.309,1787.631,103.968,1532.988,1064.096,142.396,8.757,104.714,4505.635,26.091,141.428
65,218.082,20.507,5.339,5.039,88.361,0.965,0.189,5.039,0.651,0.023,0.965,4.941,0.189,4.991,33.943,1785.058,95.429,1528.717,1060.605,142.499,7.895,104.376,4489.393,26.319,140.878
66,205.353,23.136,6.067,5.214,85.515,0.885,0.19,5.214,0.619,0.02,0.885,5.152,0.19,4.944,33.702,1782.47,88.437,1523.749,1057.021,142.62,7.041,104.054,4473.664,26.515,140.357
67,256.389,35.104,4.583,5.359,92.544,0.869,0.2,5.359,0.582,0.017,0.869,5.512,0.2,4.875,33.653,1779.895,81.375,1518.075,1053.06,142.806,6.172,103.737,4457.006,26.973,139.454
68,297.444,27.281,5.533,5.435,97.733,0.916,0.205,5.435,0.549,0.015,0.916,6.232,0.205,4.733,33.8,1777.376,75.733,1511.718,1048.941,142.934,5.606,103.49,4440.704,27.488,138.434
69,374.758,41.251,7.138,5.947,101.017,0.579,0.208,5.947,0.527,0.012,0.579,7.096,0.208,4.564,34.166,1774.651,68.818,1505.752,1044.388,143.239,4.272,103.199,4422.855,28.919,136.026
70,377.309,46.504,6.479,5.133,103.558,1.351,0.268,5.133,0.508,0.016,1.351,7.202,0.268,4.53,34.626,1773.41,69.98,1496.15,1040.587,142.802,7.6,102.908,4411.448,27.183,138.236
71,418.37,45.142,7.183,4.707,106.09,2.314,0.2,4.707,0.541,0.018,2.314,7.781,0.2,4.444,35.014,1772.69,75.944,1488.355,1039.718,142.434,9.43,102.937,4408.224,24.975,141.248
72,570.213,48.878,7.57,4.383,127.362,3.417,0.215,4.383,0.583,0.024,3.417,8.245,0.215,4.346,35.509,1772.332,83.692,1483.532,1039.382,142.259,10.992,103.052,4410.015,23.662,143.076
73,547.601,55.507,6.926,0.163,119.857,9.026,0.659,0.163,0.65,0.109,9.026,1.977,0.659,5.023,38.581,1772.73,100.884,1475.622,1037.423,141.734,17.678,102.146,4416.211,22.347,144.88
74,481.768,47.543,7.557,0.121,111.559,14.932,5.336,0.121,0.943,0.409,14.932,0.202,5.336,5.41,38.182,1773.706,120.267,1460.668,1032.719,135.564,41.449,101.353,4410.034,15.629,154.323
75,552.976,47.476,8.303,0.102,135.414,22.11,16.057,0.102,1.204,0.729,22.11,0.121,16.057,5.743,35.58,1775.631,149.399,1442.499,1025.712,122.352,80.38,100.476,4394.363,6.605,167.259
76,524.836,46.385,7.969,0.092,127.855,28.241,27.451,0.092,1.429,1.008,28.241,0.092,27.451,5.993,33.126,1777.952,182.967,1427.222,1018.622,108.212,121.627,99.554,4380.858,3.571,171.882
77,520.74,51.439,7.909,0.085,132.306,33.371,38.286,0.085,1.647,1.365,33.371,0.073,38.286,6.233,31.004,1780.312,215.604,1412.803,1011.163,92.692,165.723,98.613,4363.617,2.568,173.727
78,480.473,48.755,7.448,0.081,114.802,38.159,47.181,0.081,1.812,1.612,38.159,0.064,47.181,6.443,29.149,1782.432,248.15,1399.442,1003.337,76.538,211.0,97.648,4345.16,2.092,174.827
79,495.792,32.725,6.603,2.422,111.787,32.768,25.189,2.422,1.283,0.235,32.768,4.6,25.189,6.161,29.045,1783.994,250.686,1416.369,1011.781,90.161,207.362,98.233,4413.208,3.091,173.754
80,412.229,39.578,6.081,2.396,105.822,27.497,8.767,2.396,1.276,0.214,27.497,4.825,8.767,6.081,30.358,1785.554,258.671,1432.512,1018.312,101.765,204.947,98.49,4476.321,5.591,170.67
81,346.958,34.65,5.573,2.692,102.051,23.384,0.262,2.692,1.228,0.139,23.384,5.194,0.262,5.868,31.246,1785.352,256.013,1448.161,1025.356,110.094,198.751,98.777,4515.933,11.251,163.035
82,355.774,34.194,4.572,2.819,99.529,19.901,0.164,2.819,1.216,0.121,19.901,5.39,0.164,5.674,31.967,1784.007,246.569,1461.487,1032.064,111.401,191.21,99.011,4524.039,15.683,156.989
83,273.931,25.615,3.956,2.965,88.648,16.55,0.121,2.965,1.186,0.101,16.55,5.612,0.121,5.476,32.577,1782.205,233.408,1474.506,1038.848,112.221,182.631,99.246,4527.151,18.431,153.162
84,232.209,21.159,3.923,3.161,89.877,12.6,0.089,3.161,1.145,0.08,12.6,5.96,0.089,5.267,33.138,1779.529,213.127,1485.54,1045.652,112.694,171.573,99.461,4520.089,20.403,150.323
85,213.833,24.997,4.016,3.399,85.585,8.782,0.069,3.399,1.103,0.068,8.782,6.176,0.069,5.099,33.653,1776.679,189.482,1494.384,1052.205,113.088,158.231,99.624,4506.504,22.236,147.62
86,176.376,22.43,3.772,3.644,84.257,6.054,0.057,3.644,1.052,0.06,6.054,6.172,0.057,4.943,34.074,1773.932,166.422,1500.741,1058.288,113.433,143.901,99.709,4490.002,23.887,145.143
87,175.452,30.001,4.574,4.055,84.42,3.796,0.044,4.055,1.008,0.052,3.796,6.349,0.044,4.773,34.443,1771.146,142.365,1505.379,1064.157,113.872,127.284,99.735,4469.608,26.0,141.944
88,152.215,25.722,4.646,4.172,83.633,3.073,0.047,4.172,0.908,0.048,3.073,5.993,0.047,4.701,34.711,1768.728,123.274,1505.807,1069.049,114.135,112.633,99.627,4449.423,27.088,140.153
89,161.638,24.562,5.03,4.769,82.57,1.868,0.034,4.769,0.877,0.039,1.868,6.313,0.034,4.538,34.892,1765.912,103.509,1505.629,1074.262,114.642,94.705,99.523,4426.511,29.176,136.871
90,177.326,21.783,5.451,5.104,82.621,1.134,0.038,5.104,0.769,0.034,1.134,6.21,0.038,4.436,35.219,1763.419,87.814,1502.035,1078.62,114.996,78.181,99.206,4403.412,30.772,134.275
91,194.293,28.28,6.454,5.391,87.456,0.839,0.039,5.391,0.706,0.03,0.839,5.835,0.039,4.408,35.414,1761.106,77.141,1495.579,1082.205,115.146,63.657,98.796,4381.838,31.414,133.067
92,261.601,28.466,6.129,5.008,92.81,1.286,0.056,5.008,0.625,0.03,1.286,5.344,0.056,4.443,35.335,1759.341,73.475,1485.87,1084.644,114.878,53.894,98.416,4364.485,29.964,134.927
93,341.461,38.098,7.26,5.111,101.319,1.299,0.052,5.111,0.625,0.027,1.299,5.645,0.052,4.394,35.143,1757.142,72.366,1477.757,1087.779,114.829,42.573,98.199,4350.408,29.227,135.785
94,400.346,47.089,7.355,4.748,110.2,1.953,0.077,4.748,0.601,0.028,1.953,5.963,0.077,4.366,35.109,1755.596,75.146,1470.048,1090.424,114.646,34.532,98.027,4341.567,27.822,137.64
95,424.206,46.12,8.11,4.969,113.885,1.905,0.062,4.969,0.617,0.02,1.905,7.246,0.062,4.165,35.318,1754.074,75.648,1465.222,1093.634,114.766,24.738,98.06,4333.678,27.61,137.731
96,358.314,53.289,8.687,4.501,103.027,3.09,0.113,4.501,0.593,0.022,3.09,7.577,0.113,4.126,35.778,1753.636,79.639,1458.987,1094.966,114.572,21.714,98.023,4329.962,25.876,140.055
97,578.709,51.749,8.149,4.06,119.882,5.996,0.144,4.06,0.651,0.037,5.996,7.319,0.144,4.225,35.982,1753.93,90.798,1454.391,1096.489,114.482,21.772,98.122,4336.628,23.382,143.649
98,572.275,48.916,7.863,3.789,126.116,8.42,0.183,3.789,0.735,0.052,8.42,7.175,0.183,4.277,36.287,1755.804,108.439,1455.589,1098.781,114.587,22.792,98.349,4356.269,21.734,146.105
99,546.842,50.612,7.763,3.43,118.338,10.983,0.273,3.43,0.838,0.08,10.983,6.505,0.273,4.414,36.495,1759.078,130.766,1459.717,1101.208,114.557,27.563,98.548,4385.31,19.687,149.251
100,612.504,50.788,7.177,3.314,121.012,12.978,0.247,3.314,0.916,0.091,12.978,6.291,0.247,4.496,36.521,1762.337,150.158,1467.552,1104.442,114.902,31.083,98.812,4416.31,18.834,150.798
101,453.664,46.77,6.842,3.001,110.695,15.509,0.368,3.001,1.005,0.12,15.509,5.534,0.368,4.671,36.386,1766.539,174.248,1476.283,1107.378,114.983,38.504,99.0,4453.774,17.509,153.095
102,566.237,43.561,7.376,2.774,114.165,18.06,0.407,2.774,1.141,0.18,18.06,4.628,0.407,5.01,35.533,1770.121,199.898,1486.787,1110.236,115.519,45.292,99.14,4494.247,17.148,154.177
103,390.205,35.577,5.699,2.831,105.826,18.102,0.266,2.831,1.127,0.128,18.102,4.928,0.266,5.138,34.868,1773.606,218.97,1500.628,1114.063,116.372,50.095,99.382,4533.024,17.551,154.0
104,406.991,33.03,6.931,2.91,99.29,16.274,0.199,2.91,1.094,0.091,16.274,5.384,0.199,5.151,34.689,1774.534,218.241,1512.179,1118.404,116.963,49.576,99.625,4549.176,18.213,153.333
105,287.582,41.2,5.305,2.844,92.923,15.3,0.21,2.844,1.088,0.09,15.3,4.95,0.21,5.294,34.391,1774.996,219.086,1522.252,1122.049,117.524,50.082,99.772,4564.863,18.412,153.364
106,305.427,32.715,6.875,2.908,93.071,15.563,0.165,2.908,1.076,0.082,15.563,4.741,0.165,5.464,33.706,1773.613,213.736,1531.558,1125.473,118.291,47.062,99.909,4571.817,19.482,152.175
107,281.422,17.157,4.178,3.137,94.911,13.152,0.115,3.137,1.039,0.055,13.152,5.402,0.115,5.455,33.453,1771.835,201.621,1541.367,1129.349,119.133,40.446,100.139,4572.083,20.973,150.21
108,218.676,10.59,4.543,3.365,89.165,8.661,0.097,3.365,0.988,0.04,8.661,6.032,0.097,5.335,33.691,1769.841,183.77,1549.332,1132.742,119.536,32.813,100.351,4563.688,22.226,148.414
109,233.426,20.133,3.999,3.712,85.928,4.359,0.088,3.712,0.932,0.033,4.359,6.165,0.088,5.212,33.988,1767.4,163.516,1555.096,1135.035,119.891,25.046,100.461,4549.79,23.516,146.511
110,185.815,23.315,3.682,4.338,85.531,1.868,0.082,4.338,0.872,0.025,1.868,6.258,0.082,5.113,34.324,1764.76,142.122,1559.667,1136.134,120.274,17.136,100.441,4532.379,25.209,143.95
111,149.402,17.421,5.003,4.818,84.876,1.122,0.101,4.818,0.783,0.021,1.122,5.922,0.101,5.091,34.624,1762.351,121.349,1560.783,1134.95,120.534,11.911,100.198,4511.551,26.474,141.907
112,153.189,26.009,3.783,5.247,85.294,0.813,0.118,5.247,0.701,0.019,0.813,5.639,0.118,5.071,34.744,1760.016,102.772,1558.634,1131.823,120.831,8.362,99.861,4488.825,27.584,140.056
113,238.18,24.134,4.38,5.441,88.003,0.788,0.148,5.441,0.62,0.017,0.788,5.7,0.148,5.013,34.792,1757.783,88.149,1553.551,1127.235,121.052,6.605,99.517,4466.088,28.458,138.519
114,194.223,26.383,5.606,5.41,87.23,0.902,0.165,5.41,0.57,0.015,0.902,5.892,0.165,4.956,34.83,1755.859,80.049,1545.968,1122.423,121.062,6.465,99.217,4446.759,28.427,138.29
115,307.355,34.364,6.157,5.387,99.045,1.028,0.169,5.387,0.541,0.015,1.028,6.172,0.169,4.863,34.887,1754.012,75.124,1537.666,1117.883,121.117,6.151,98.975,4429.637,28.241,138.298
116,364.62,32.58,5.216,4.972,103.503,1.66,0.191,4.972,0.537,0.017,1.66,6.385,0.191,4.779,34.923,1752.947,76.302,1528.792,1113.895,121.002,7.451,98.827,4418.65,27.1,139.745
117,268.233,37.772,6.978,5.408,93.63,1.173,0.143,5.408,0.544,0.011,1.173,7.471,0.143,4.555,35.154,1751.597,75.038,1523.297,1110.557,121.337,5.437,98.821,4407.958,27.831,138.444
118,450.807,45.924,7.099,4.929,109.074,1.918,0.207,4.929,0.534,0.016,1.918,7.492,0.207,4.495,35.596,1750.957,75.958,1515.752,1106.42,121.296,7.311,98.67,4398.55,27.126,139.259
119,538.461,45.994,6.759,4.726,116.149,2.637,0.173,4.726,0.567,0.018,2.637,8.023,0.173,4.38,35.965,1751.193,81.446,1510.163,1104.491,121.294,8.206,98.766,4396.978,26.01,140.737
120,486.092,57.325,7.101,4.415,121.401,3.577,0.199,4.415,0.601,0.021,3.577,8.382,0.199,4.335,36.54,1752.506,89.187,1506.654,1103.4,121.136,10.538,98.899,4401.064,24.613,142.64
121,530.91,53.37,6.427,0.148,120.723,11.256,1.075,0.148,0.713,0.152,11.256,1.329,1.075,5.224,39.21,1754.978,110.815,1497.005,1100.585,119.826,21.908,97.941,4410.998,21.38,147.3
122,569.85,53.611,8.928,0.112,127.664,18.449,6.812,0.112,1.038,0.495,18.449,0.147,6.812,5.629,37.613,1757.443,134.995,1480.424,1094.307,112.328,50.044,97.13,4405.609,13.451,158.582
123,511.501,49.988,8.369,0.099,122.165,25.277,16.744,0.099,1.244,0.736,25.277,0.105,16.744,5.953,35.34,1761.038,161.962,1463.084,1087.216,100.399,87.358,96.305,4392.769,6.185,169.044
124,527.969,52.62,6.636,0.091,133.795,31.536,27.641,0.091,1.434,0.96,31.536,0.084,27.641,6.189,32.974,1765.082,192.804,1446.971,1079.615,86.972,128.003,95.429,4379.184,3.537,173.152
125,437.159,44.669,7.701,0.085,118.233,36.729,37.079,0.085,1.613,1.21,36.729,0.071,37.079,6.376,30.839,1769.149,223.147,1431.741,1071.633,72.824,170.013,94.527,4363.435,2.648,174.775
126,480.537,44.16,6.402,0.081,119.925,39.984,44.453,0.081,1.781,1.509,39.984,0.061,44.453,6.488,28.976,1772.421,249.019,1417.304,1063.311,58.466,212.149,93.605,4343.338,2.226,175.753
127,461.907,34.907,6.938,2.334,108.121,34.066,21.827,2.334,1.359,0.3,34.066,3.795,21.827,6.225,28.693,1776.822,256.245,1433.365,1071.007,72.424,209.352,94.068,4417.161,3.442,174.542
128,420.585,39.729,5.538,2.451,109.957,28.437,3.56,2.451,1.235,0.178,28.437,4.626,3.56,6.115,29.655,1780.401,261.497,1449.88,1078.165,87.05,202.503,94.364,4487.281,7.034,169.849
